time,text,location,userid,screenname,retweetcount
2019-04-22 08:11:23,"b'""Hyderabad is safe haven for Islamic terrorist activities""\n\nhttps://t.co/NKIUrTZz48\n\n#Hyderabad #terrorism #terrorist #NIA #TRS #AIMIM #BJP https://t.co/4ofT6NXQTo'","Jubilee Hills, Hyderabad",279559837,abntelugutv,0
2019-04-22 07:32:23,b'@CNNnews18 @BJP4India @payalmehta100 @narendramodi  @AmitShah \n\nIf #BJP &amp; Sh #Modi Ji has concerns for farmers Dn #BJP Should implement #ManifestoForAgricultureSector for Sustained Farming &amp; betterment of Farmers\nDetails in\nhttps://t.co/PbBefGU3ma \n&amp;\nhttps://t.co/Oa7QDO9l8R \n\n@INCIndia  @RahulGandhi \n\nDo U ? https://t.co/5nRPqNz7zQ',"New delhi, Hyderabad",435038223,pradeepkunche,0
2019-04-22 07:31:28,"b""https://t.co/MJ5GWk13lg\n#RahulGandhi #Congress #Chowkidar #BJP\nRahul expresses regret over 'chowkidar chor hai' comment""",Hyderabad,2328627306,Eenadu_English,0
2019-04-22 07:09:00,b'https://t.co/0rDjlHAaYc\n#BJP \nForm special cell to probe rise in terror activity: BJP leader',Hyderabad,2328627306,Eenadu_English,0
2019-04-22 07:03:24,"b""Rahul Gandhi says `sorry' to Supreme Court\n\nhttps://t.co/4V8jOCMVq7\n\n#RahulGandhi #Rahul #Congress #SupremeCourt #Chowkidar #NarendraModi #BJP https://t.co/Yt665XXIlp""","Jubilee Hills, Hyderabad",279559837,abntelugutv,0
2019-04-22 06:57:18,"b""Another ban hangs over UP CM's head with his remarks\n\nhttps://t.co/fMoPoX4pli\n\n#UttarPradesh #YogiAdityanath #BJP #Elections2019 #SamajwadiParty https://t.co/4aSnt4XTbh""","Jubilee Hills, Hyderabad",279559837,abntelugutv,0
2019-04-22 06:50:03,b'People voting enthusiastically to make Modi PM again:Amit Shah\n@AmitShah #BJp #NarendraModi #Elections2019 \nhttps://t.co/R8acHOxyAV',Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 06:39:04,b'Two leaders are playing a different game this election. #AsaduddinOwaisi has stepped out of #Hyderabad to contest LS elections in #Bihar &amp; #Maharashtra while #RajThackeray is batting against the #BJP. Watch out for both leaders post 23 May. @FilterKaapi10 https://t.co/yRt1aZL17o',"Hyderabad, India",289274330,umasudhir,0
2019-04-22 06:20:04,"b'Time to stand with judiciary, says Jaitley \n@arunjaitley #BJp #supremecourt #Ranjangogoi \nhttps://t.co/21BJNcW9qC'",Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 06:08:29,b'@ndtvfeed @ndtv That why hyderabad got best city to live. If is their any #terrorist no excuse for that. And also hyderabad is free from #BJP that is another reason for best city. #AmitShah #BattleOf2019',"Hyderabad, India",796050957058588673,Md_aw_ruman,0
2019-04-22 05:55:03,"b'Kanhaiya Kumar shown black flags; supporters, Begusarai locals clash \n#KanhaiyaKumar #BJP #LokSabhaElections2019 \nhttps://t.co/450xOFQ1bZ'",Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 05:43:28,b'. @Apple to assemble iPhones in India through @makeinindia \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 beats China \n\nThanks to @narendramodi taking indian economy to new heights \n\nDo Vote \xf0\x9f\x97\xb3 every vote matters\n\n#Election2019 #BharatMangeModiDobara #BJP',India,122013897,PrabhuAlur,0
2019-04-22 05:42:06,b'If YOU want your child to be like @RahulGandhi then do vote \xf0\x9f\x97\xb3 @INCIndia \n\nDo Vote \xf0\x9f\x97\xb3 every vote matters \n#2019Elections #BJP #BattleOf2019',India,122013897,PrabhuAlur,0
2019-04-22 05:30:38,"b""@timesofindia @AmitShah It's divisive policy of BJP, the same issue they tell in Assam differently. Don't believe these liers\nDefeat #BJP\nSave #Indua""",Annavaram,1617883032,Aknmrao,0
2019-04-22 05:25:03,"b""Hyderabad is safe haven for Islamic terrorist activities, says BJP's Bandaru Dattatreya \n#Hyderabad #IslamicTerrorist #BJP #BandaruDattatreya \nhttps://t.co/xPvXk6dxx1""",Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 05:15:03,"b""Brother, sister rules Congress, they do whatever they want: BJP's Anil Jain \n#BJP #AnilJain #Congress #PriyankaGandhi #RahulGandhi \nhttps://t.co/x27fDsw2Cy""",Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 05:14:25,"b'@AtishiForChange @AtishiAAP Neither #BJP nor #Congress will agree to full statehood of Delhi because if they do, then the difference with their own states and Delhi would be glaringly embarrassing.'","Hyderabad, India",57326126,cha_indian,0
2019-04-22 04:50:50,b'City BJP leader Arun Kumar injured in a screw driver attack in Banjara Hills \n#ArunKumar #BJP #Banjarahills #Telangana \nhttps://t.co/YVGDGBgfip',Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 02:44:04,b'Finally #Bjp Speak True No One Has Been #Killed On #Balakot Attack #Bhokto_AbThoJago.',"Hyderabad,India",883943492598116353,masumhassancho1,0
2019-04-22 02:28:26,b'https://t.co/84ldpkkWeV\n#BJD #BJP \nOdisha: Bomb hurled at vehicles of BJD and BJP MLA candidates',Hyderabad,2328627306,Eenadu_English,0
2019-04-21 19:30:37,b'It was match between rahul and modi.\xf0\x9f\x98\x82 #RCBvCSK #ElectionsWithTimes #BJP #Congress',"Hyderabad, India",796050957058588673,Md_aw_ruman,0
2019-04-21 18:12:44,"b""CAUTION:\nPlease don't hype the #AvengersEndgame too much, the government might ban them too. \n#BJP #Congress #IncredibleIndia""","Hyderabad, India",293335467,vikramadityap,1
2019-04-21 17:18:45,b'old:\ne = mc2\nnew :\ne c = m2\n\nyou all intelligent guys know what it means \n\n#bjp #congress #andhra #tdp #trs #ysrcp #jagan #ChandrababuNaidu #kcr #India',"Hyderabad, Andhra Pradesh",2896835024,prakashchimmala,0
2019-04-21 17:04:35,b'Appeal to vote for #BJP and please vote in large nos. And create record voting this time. \xf0\x9f\x99\x8f https://t.co/8Bzeopfk3h',"Hubli, India",2845994058,JoshiPralhad,31
2019-04-21 16:11:45,b'@narendramodi What about karkare...!! Your party candidates said some thing SADHVI. May be ur mp nominee. #AayegaToModiHi #AbkiBaarKiskiSarkar #BJPInsultsMartyr #BJP',"Hyderabad, India",796050957058588673,Md_aw_ruman,0
2019-04-21 16:03:16,"b'#DharmayudhDebate  Asad Falahi, Islamic Scholar \nin this same @BJP4India Govt. CBI court has acquitted @kanimozhi RAJA .,\nThat time everybody @incindia @DMK @cpimspeak said Justice Prevails, \nNo #BJP involvement \nhow suddenly for @SadhviPragyaG same Justice INDEPENDENCE declines? https://t.co/infNmDphCk'",hyderabad,225829559,RSR_MeriDuniya,1
2019-04-21 15:55:10,b'#Chandrababu Won 2014 Elections with #EVMs only Says #BJP Leader #RamMadhav.\n\n#NtvTelugu #Elections2019 #ApElections #CBN #TDP #BJP https://t.co/ecP8iLMTss',Hyderabad,2765853637,NtvteluguHD,0
2019-04-21 15:35:47,b'While EC warned politicians not to beg votes in the name of Wing Commander Abhinandan. #BJP and #Modi\nAre still doing it.\n\nNarendra Modi reveals he warned Pakistan of consequences. Read complete story here: https://t.co/IWDsdXYnzW',Hyderabad,1058596778465878018,GowthamUyalla,0
2019-04-21 15:32:31,b'@ndtv Lol...acha hai NYAY hai. Good one modi crack joke like this. #AbHogaNYAY #Elections2019 #AbkiBaarKiskiSarkar  Neuclear we are proud that we have but dnt use in election. #BJP',"Hyderabad, India",796050957058588673,Md_aw_ruman,0
2019-04-21 12:17:16,b'@FrustIndian Make Sunny Deol #BJP president. He is far better choice!',"Jubilee Hills, Hyderabad",156207342,Raamurthi,0
2019-04-21 09:36:02,"b'In this regard, BJP state President Dr K Laxman wrote a letter to the Chief Election Commissioner.\n#Telangana #BJP \nhttps://t.co/RUQGOexGY9'","Hyderabad, India",742211562,SakshiPost,0
2019-04-21 06:00:56,"b'#No development\n#No black money return\n#No Jobs\n#No demonetization result\n#No GST results\nNo answer 2 abv by #Modi.\nBJP election campaign thy told fight with terrorism, vote for nationalist, bu after #Pragna contesting no right 2 #bjp to ask same.\n#defeat #Terrorists\n#Save #india'",Annavaram,1617883032,Aknmrao,0
2019-04-21 05:45:54,"b""https://t.co/QiGDsLwuX2\n#BJP\n'Cast proxy votes if necessary,' BJP candidate instructs workers""",Hyderabad,2328627306,Eenadu_English,1
2019-04-21 00:53:22,b'Entire police department should boycott #BJP  as #SadviPragya insulted a police officer who sacrificed  his life on duty for the safety of the nation.',"Hyderabad, India",2257630154,kparveen2005,3
2019-04-20 23:43:44,b'@t_d_h_nair Yeh no one should be in the bench of his or her own case.\nBut this time hold on the case so the #Bjp cant take advantage of it',"Hyderabad, India",2257630154,kparveen2005,0
2019-04-20 18:07:20,"b""Dear #Cm #KCR sir, #KTR sir,  #Telanganaintermediatboard #ABVP #OU #Students #Trsparty #Bjp #TCongress #profkodandaram Pl Give Immediate Response and Save Inter Students, It's very high time, Pl cover chesukovadaniki evaru try cheyakandi, Solve cheyyadaniki try cheyyandi, Sad https://t.co/xpEM5z3sr4""",HYDERABAD,218125707,ravisarma_dir,0
2019-04-20 17:32:26,b'@narendramodi All that is directly connected to removing MODI..thats why. #AbkiBaarKiskiSarkar #BattleOf2019 #BJP',"Hyderabad, India",796050957058588673,Md_aw_ruman,1
2019-04-20 16:35:38,b'@Ms_Aflatoon @SUNDARmyth @BJP4India This is communal rigging strategy.\n#Defeat #BJP\n#Save #india',Annavaram,1617883032,Aknmrao,0
