time,text,location,userid,screenname,retweetcount
2019-04-22 08:30:19,"b'All set for #Congress LP to merge with #TRS?\n\nAhead of the ZPTC and MPTC elections, this is a new headache for #TelanganaCongress.'","Hyderabad, Andhra Pradesh",2340680791,GulteOfficial,0
2019-04-22 08:13:31,b'@INCTelangana leaders @revanth_anumula stage a dharna in front of #Telangana #intermediate board over results goof-up. #Congress leaders demand justice for all those students who have mistakenly failed or marked absent despite appearing for  the #inter exams @TOIHyderabad https://t.co/C0uhi1Fa3L',"Hyderabad, Andhra Pradesh",3524122092,PreetiBiswasTOI,1
2019-04-22 07:31:28,"b""https://t.co/MJ5GWk13lg\n#RahulGandhi #Congress #Chowkidar #BJP\nRahul expresses regret over 'chowkidar chor hai' comment""",Hyderabad,2328627306,Eenadu_English,0
2019-04-22 07:28:28,"b""Here is d thing.don't prove any pt 2 #Liberals they r aware of al d facts.They r just good @ ignoring. Ppl following #Congress knw abt pappu bt wud vote 4 RG fr freebies.Let's nt waste time in proving thm anythng rather SHOW it 2 Indians wt they r up2. @AKTKadmin @Payal_Rohatgi""","Hyderabad, India",54519676,rimajha,0
2019-04-22 07:26:57,"b'#Delhi - Former BJP MP from Hamirpur, Suresh Chandel joined Congress in presence of party President Rahul Gandhi\n#Congress \n#ElectionsWithNews18 https://t.co/P9EgvLZGs6'",hyderabad,170642110,rajeshkshitij,0
2019-04-22 07:26:05,b'Congress trying to save its MLAs\n\n#Telangana\n#Congress\n#TRS\n#KCR\n\nhttps://t.co/aSKUEFB9sl',"Hyderabad, India",1019466808158404610,newssting1,0
2019-04-22 07:16:11,"b""#RahulGandhi - Amethi returning officer declares Congress President Rahul Gandhi's nomination valid\n#ElectionsWithNews18 \n@News18MP \n@News18CG \n#UTTARPRADESH \n#Congress""",hyderabad,170642110,rajeshkshitij,0
2019-04-22 07:05:05,b'Congress announces 6 names for Delhi Lok Sabha polls \n#Congress #LokSabhaPolls #Delhi \nhttps://t.co/h5jsbaCUyI',Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 07:04:31,"b'#RahulGandhi accepts in #SupremeCourt that he lied about #Rafale, He said that \xe2\x80\x98It was said in the heat of the moment &amp; I apologise with folded hands\xe2\x80\x99.\n\nReally? The whole campaign of #Congress Party is based on \xe2\x80\x98Heat of the moment\xe2\x80\x99? Is this some kind of joke? Or he himself is?'","Hyderabad, India",543190527,KumarReddyCH,0
2019-04-22 07:03:24,"b""Rahul Gandhi says `sorry' to Supreme Court\n\nhttps://t.co/4V8jOCMVq7\n\n#RahulGandhi #Rahul #Congress #SupremeCourt #Chowkidar #NarendraModi #BJP https://t.co/Yt665XXIlp""","Jubilee Hills, Hyderabad",279559837,abntelugutv,0
2019-04-22 07:00:09,b'Congress MLA set to join TRS soon \n#Congress #TRS #Telangana #GandraVenkataRamanaReddy \nhttps://t.co/BOpGPIY7GU',Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 06:55:09,b'Double standards #Congress this is what Congress top leadership offers for PM candidate ! https://t.co/LtHCspIhEP',"Hyderabad, India",130857201,LavanyaBJYM,0
2019-04-22 06:41:53,"b'#Congress President Rahul Gandhi says ""he regretted that he gave the statement"" (on Rafale verdict), in his reply to the Supreme Court on contempt petition filed by Meenakshi Lekhi'",hyderabad,170642110,rajeshkshitij,0
2019-04-22 06:41:09,b'#Congress President Rahul Gandhi files his response in Supreme court in connection with a contempt petition filed by BJP MP Meenakshi Lekhi over his statement on Rafale verdict. SC will hear the matter tomorrow.',hyderabad,170642110,rajeshkshitij,0
2019-04-22 06:04:56,b'#Congress leader #BhattiVikramarka face to face over over CLP merge in TRSLP\n\nhttps://t.co/DEI9mjNGpv',"Hyderabad, India",2783890952,TV1Telugu,0
2019-04-22 06:04:03,b'#Congress #CLP to merge with #TRSLP soon - News Watch\n\nhttps://t.co/Q3NEkfHQGr',"Hyderabad, India",2783890952,TV1Telugu,0
2019-04-22 05:59:04,b'The #Congress on Monday released the list of candidates on six out of the seven parliamentary constituencies in Delhi for the May 12 Lok Sabha polls in the national capital. https://t.co/cUyocwPoym',"Hyderabad, Andhra Pradesh",4600397785,SuryaTeluguNews,0
2019-04-22 05:53:00,"b'Voters in these 4 states Wants #RahulGandhi as PM\n\nA survey by C-Voter and IANS has revealed that voters in Punjab, AP, Kerala and TN have a soft corner for #Congress President'","Hyderabad, Andhra Pradesh",2340680791,GulteOfficial,0
2019-04-22 05:15:03,"b""Brother, sister rules Congress, they do whatever they want: BJP's Anil Jain \n#BJP #AnilJain #Congress #PriyankaGandhi #RahulGandhi \nhttps://t.co/x27fDsw2Cy""",Hyderabad,1874798778,thehansindiaweb,0
2019-04-22 05:14:25,"b'@AtishiForChange @AtishiAAP Neither #BJP nor #Congress will agree to full statehood of Delhi because if they do, then the difference with their own states and Delhi would be glaringly embarrassing.'","Hyderabad, India",57326126,cha_indian,0
2019-04-22 04:36:39,b'Sign Affidavit if you wish to contest in the upcoming ZPTC and MPTC elections in #Telangana asks @INCTelangana from its candidates to avoid defections #congress https://t.co/inRESKDppV',HYderabad,924499850183417856,SudhakarTOI,0
2019-04-22 04:36:04,b'Sign Affidavit if you wish to contest in the upcoming ZPTC and MPTC elections in #Telangana asks @INCTelangana from its candidates to avoid defections #congress https://t.co/62hKKiJIMM',Hyderabad Andhra Pradesh India,86743567,sudhakarudumula,0
2019-04-22 04:28:41,b'.@INCTelangana asked affidavits from #ZPTC &amp; #MPTC where candidates have to declare that they will not move to any other party after winning the #ELECTIONS from party ticket.  #Telangana #Congress have taken these precautionary measures to avoid defections. #TelanganaPolitics https://t.co/iL7rH1PFjE',Hyderabad,833146958,anusha_puppala,0
2019-04-21 22:25:33,"b'#Vote And Elect Dr @kharge Ji  \nVote Abhi Nahi Tho Kabi Nahi,\nPolling Date 23/04/2019 #Gulbarga \n\nVote For #Congress \nVote For #Development\nVote For Your #Rights \nVote For Save #INDIA \nVote For Save #Democracy \n\n@PriyankKharge\n@TeamKharge\n#\xe0\xb2\x95\xe0\xb2\xb2\xe0\xb2\xac\xe0\xb3\x81\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\x97\xe0\xb2\xbf\xe0\xb2\x97\xe0\xb2\xbe\xe0\xb2\x97\xe0\xb2\xbf_\xe0\xb2\x96\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\x97\xe0\xb3\x86\n#KhargeForKalaburgi https://t.co/zZrtb5O2wh'","Gulbarga, India",796960674907848704,Sohailbagalkot,0
2019-04-21 19:30:37,b'It was match between rahul and modi.\xf0\x9f\x98\x82 #RCBvCSK #ElectionsWithTimes #BJP #Congress',"Hyderabad, India",796050957058588673,Md_aw_ruman,0
2019-04-21 18:12:44,"b""CAUTION:\nPlease don't hype the #AvengersEndgame too much, the government might ban them too. \n#BJP #Congress #IncredibleIndia""","Hyderabad, India",293335467,vikramadityap,1
2019-04-21 17:18:45,b'old:\ne = mc2\nnew :\ne c = m2\n\nyou all intelligent guys know what it means \n\n#bjp #congress #andhra #tdp #trs #ysrcp #jagan #ChandrababuNaidu #kcr #India',"Hyderabad, Andhra Pradesh",2896835024,prakashchimmala,0
2019-04-21 13:35:42,b'Congress put \xe2\x80\x9cterror\xe2\x80\x9c tags on Hindus while everyone knows which religion should be called as terror religion. The world has never pointed a finger at our great culture of thousands of years. These people have done the disgusting sin of maligning it. #Congress',"Hyderabad, India",1085378281396875264,UdayGadalay,0
2019-04-21 10:44:01,b'NDA saved 12600 crores in Rafale deal. @narendramodi177 @narendramodi @PMOIndia @TOIIndiaNews \nWell where are these?\n\n#BollywoodCelebs ?\n#awardwaapsigang\n#TukdeTukdeGang \n#Congress https://t.co/x2dTeiRYUv',Gulbarga,4647501553,mnaveen611,0
2019-04-21 09:18:14,b'This is #DCM of #Rajasthan #SachinPilot.......see what he is doing to #PMModi  poster with his own hands...!!!\n\nWhat good can you expect from #Congress leaders? https://t.co/HgWw4LExTf',"Raichur, India",2352899830,Rajashekharkoda,0
2019-04-21 08:40:48,b'@INCMaharashtra @AmitShah Lots of love to Maharashtra! \nMade it lovely scenario \xf0\x9f\x98\x8d!\n\n#Maharashtra #Congress',Hyderabad,1087693760341913601,ThOIOfficial,0
2019-04-21 08:14:35,"b'""Who is Pappu now?"" Sinha mocks Modi\n\nhttps://t.co/9X22DMBQlE\n\n#shatrughansinha #Sinha #Modi #assemblyelections #Congress https://t.co/MK79dl996S'","Jubilee Hills, Hyderabad",279559837,abntelugutv,0
2019-04-21 07:21:11,b'#RahulGandhi and CM #Chandrababu Participates #Congress Public Meeting at #Karnataka | #ABNLIVE\nhttps://t.co/mjumMHOEUN',"Jubilee Hills, Hyderabad",279559837,abntelugutv,1
2019-04-21 05:54:42,"b'Happy Wedding Anniversary To Our Beloved Leader #PonnamPrabhakar Anna, Ex MP #Karimnagar #Telangana Fire Brand, T #Congress  Working President #AICC Member\n@PonnamLoksabha https://t.co/k4OMuyDRq0'","Hyderabad, India",1566070957,sujithindia,0
2019-04-21 04:59:43,"b'With these latest additions, the Congress will lose the position of Opposition in the Telangana Assembly.\n#Hyderabad #Telangana #TRS #Congress\nhttps://t.co/dvM7iSQzl5'","Hyderabad, India",742211562,SakshiPost,1
2019-04-21 04:05:06,b'https://t.co/m6hBlYaG8N\n#ManishSisodia #AAP #Congress\nSisodia clears air on AAP-Cong alliance talks',Hyderabad,2328627306,Eenadu_English,0
2019-04-21 03:37:30,b'Next generation heads of the family business called #Congress.\n\n#dynastymuktbharat https://t.co/97kUz29tKa',"Hyderabad, India",831753465227522048,AdityaMudigond_,0
2019-04-21 02:52:22,"b'This lady who is farmer,talking against family politics of JDS says,you dont own us just because we support you in past elections. Mandya ppl r fed up of family drama. \n#JDS #Congress #Mandya #nikhilyellidiyappa https://t.co/dgVxZVJ4RK'","Belgaum, India",950572035842883584,SomashekharTig2,1
2019-04-21 01:43:49,"b'@RahulGandhi @dineshgrao 2 of ur leaders, a Minister from Yamkanmardi &amp; other MP aspirant from Dharwad r taking pot shots at #Brahmins in campaigns. Do u agree with them? Does #congress stand for these divisive values? Y congress calls itself secular when its leaders r communal?'","Hubli, India",100941571,caamitkulkarni,0
2019-04-20 19:10:33,"b'All The Best To Our #IYC Former President @RajaBrar_INC Ji, Contesting From #Batinda Loksabha Constituency.\n#Congress #YouthCongress https://t.co/5DsaElloMR'","Hyderabad, India",1566070957,sujithindia,0
2019-04-20 15:57:45,b'@AnjaliB_ @ShahnawazBJP Sudden realisation . Kindly name the nine families. I am sure the growth of their fortunes would surely be under #congress regime .#cronycapitalism and congress go together',"Andhra Pradesh, India",897099040499712001,IYRKRao,0
2019-04-20 12:46:23,b'Senior Congress leader Krishna Kumar joins BJP; Slams Sonia Gandhi\n\nhttps://t.co/0AWzMA5rEM\n\n#KrishnaKumar #BJP #Congress #UnionMinister #SoniaGandhi #Modi #RahulGandhi https://t.co/lUblcDLFCV',"Jubilee Hills, Hyderabad",279559837,abntelugutv,0
