time,text,location,userid,screenname,retweetcount
2019-04-22 08:55:17,"b'Ignored by @BJP4India  @ShatruganSinha left #BJP, joined @RahulGandhi @INCIndia &amp; promoting @yadavakhilesh &amp; @Mayawati as PM \n\nAll can opine on #RahulGandhi\n&amp; #ShatrughanSinha\n\nShatrughan Sinha calls Akhilesh Yadav, Mayawati PM material, Congressmen sulk\n https://t.co/IX2SfEbRbM'",SILCHAR,436385083,NIRUPAMACHARJE1,0
2019-04-22 08:21:46,b'NATIONAL | Case registered against Jaya Prada\n#JayaPrada #BJP #LSElection #Mayawati #AzamKhan #MCC #ElectionCommission \n@JayaPradaMP @BJP @Mayawati https://t.co/9jc7yDcf6I',"Guwahati, India",438156528,pratidintime,0
2019-04-22 08:14:00,b'#AGP #BJP &amp; #BPF alliance going  strong. requesting all citizen of assam to vote for this crucial political alliance for the betterment of our state. #Vote4Modi @sarbanandsonwal @HagramaM',"Tinsukia, India",1093445741836554240,Anirban_deka2,0
2019-04-22 07:30:50,"b'NATIONAL | NRC Across The Country, CAB Will Become Reality: Amit Shah\n#AmitShah #LSElecetion #BJP #CAB #NRC #Mayawati #RahulGandhi #Congress #TMC @AmitShah @BJP4India @INCIndia @NRCgov @RahulGandhi @Mayawati https://t.co/DyqENSfHUt'","Guwahati, India",438156528,pratidintime,1
2019-04-22 06:27:00,"b'While corrupt UPA govt was hardly interested in Assam\xe2\x80\x99s development, this govt is here to help the poor. #BJP has benefited a lot of farmers in Assam with credit-linked subsidy scheme. #Modi4Assam. #AbkiBaarPhirModiSarkar\n#LokSabhaElections2019 https://t.co/OOenUYz0dy'",Nagaon Assam,1093443824272080896,Ritika_Kaushik1,0
2019-04-21 19:52:16,b'Already because of @himantabiswa #BJP won the election of Assam and entire North-East.. Already His name got drafted in the list of most influential politicians of India..The real #Monarch of Indian politics @narendramodi @rahulkanwal @IndiaToday @PadmajaJoshi @DrShobha @ZeeNews',India,567237737,Jitumoni28,1
2019-04-21 11:52:17,b'#REGIONAL | Know Your Lok Sabha Constituency: Gauhati \n#Assam #AssamNews #LokSabhaElections #Gauhati #Congress #BJP \n@BJP4Assam @INCAssam @bobbeeta @OjaQueen @ECISVEEP \n https://t.co/kUu35CuxDW',"Guwahati, India",438156528,pratidintime,0
2019-04-21 08:44:08,b'REGIONAL | LS Polls: Assam Witnesses Marginal Dip In Female Candidates\n#Assam #Assamnews #LokSabhaElections2019 #BJP #Congress #BPF #TMC \nhttps://t.co/TRFfPM6HE7',"Guwahati, India",438156528,pratidintime,0
2019-04-21 07:24:10,b'Which government u want for run our administration 2019 \n#BJP\n#CONG\n\nplz comment and write why?',"Guwahati, India",1117254286117728256,Indraji53422969,0
2019-04-21 06:58:29,"b""#BJP is becoming a biggest terrorist organization, so we Indians have to wipe the symbol and name of #BJP from India for saving our beautiful nation and its cultures.\nAnd I'm still feeling sadness because of I used to support #BJP.""",Bongaigaon,991389921578434561,Iam_AbdulKDR,0
