time,text,location,userid,screenname,retweetcount
2019-04-22 09:25:19,"b'Have you checked your Bank balance? Pol parties have already checked theirs..Should we also check ours or count the votes? At Rupees 670 crore, BSP has biggest bank balance among parties, SP and Congress stood second and third respectively. #IMPECTStudy #WeAreWatchingYou.. https://t.co/hhWhsfmpOL'","Guwahati, India",1106845963216285696,ARMTrust,0
2019-04-22 09:10:37,b'Plz my lovely frnds vote for Congress up coming MP election 2019 tomorrow',Guwahati,780781141297012736,ShahnowazSaiki2,0
2019-04-22 08:29:39,b'@ShilpiSinghINC Congress me kisne di',Nagaland,982552324777406465,DKMishr35430969,0
2019-04-22 08:26:07,"b""Any impediments to your future plans - be they educational or your careers - must not be due to institutional failures on the part of the administration. Congress' #StudentsRightsAct will ensure that you have the right to transparent &amp; timely declaration of results.\n@nsui https://t.co/Tq6bt5CEJX""","Guwahati, Assam",774243243336671232,salma_begum_,0
2019-04-22 08:22:03,b'@DipendraDipzo @YRDeshmukh @ShekharGupta He is a Dalla of congress party',"Assam, India",1581967915,ManojTweets_,0
2019-04-22 08:18:20,"b'An interview with Congress candidate Abdul Khaleque, Barpeta L.S.Constit... https://t.co/C2u5fbPBUq via @YouTube'","Guwahati, India",1079297101501292544,ChannelEastM,0
2019-04-22 08:11:39,"b""Congress' Mumbai North Central candidate Priya Dutt says 'it's not about winning polls, it's about saving the country'. Follow the link to know more https://t.co/BLHCPwNOaY\n\nFor more updates download the FirstPost app from the Play Store at: https://t.co/tKU5ATYeph""","Imphal, India",2609144840,tn_haokip,0
2019-04-22 08:01:17,"b""Lok Sabha elections: In PM Modi's home state, challenges for both BJP and Congress https://t.co/t3eLc5fsVV via @timesofindia""",Guwahati,2396093298,srphookun,0
2019-04-22 07:58:18,"b'LIVE: Congress President @RahulGandhi addresses public meeting in Amethi, Uttar Pradesh. #AmethiKeDilMeinRahul https://t.co/235NrYBVw5'","Shillong, India",872400126802669568,INCMeghalaya,9
2019-04-22 07:57:16,"b'LIVE: Congress President @RahulGandhi addresses public meeting in Amethi, Uttar Pradesh. #AmethiKeDilMeinRahul https://t.co/OJulSwAiTE'","Kohima, India",872403228574363648,INCNagaland,3
2019-04-22 07:56:40,"b'LIVE: Congress President @RahulGandhi addresses public meeting in Amethi, Uttar Pradesh. #AmethiKeDilMeinRahul https://t.co/J6PJg98WyD'","Itanagar, India",866565879240171520,INCArunachal,7
2019-04-22 07:54:44,"b'Sheila Dikshit To Contest From Delhi, Congress Names 6 Candidates:\n\nhttps://t.co/myKSJyNLc1'","Imphal, India",2609144840,tn_haokip,0
2019-04-22 07:40:51,"b""@republic Will the Congress explain why he lies, will Pappu's hence man Surjewala come out and clarify? Who is Chor and liar now?""",Guwahati,166120853,apgogoi,0
2019-04-22 07:33:12,b'@timesofindia PREPOLL BREAKING NEWS KIND ATTENTION PUBLIC OF  INDIAN REPUBLIC BIG FORECAST BY CONGRESS BEWARE a big accident may take place take precautions',"Guwahati, India",2829808470,goenka_kr,0
2019-04-22 07:32:49,b'Absolutely... Original liers are Congress...They are doing this to Indian People from 55 years of their Rule. Even the party is form with lies..... https://t.co/QcKCSmX4uJ',guwahati,140070032,hemajitphukon,0
2019-04-22 07:30:50,"b'NATIONAL | NRC Across The Country, CAB Will Become Reality: Amit Shah\n#AmitShah #LSElecetion #BJP #CAB #NRC #Mayawati #RahulGandhi #Congress #TMC @AmitShah @BJP4India @INCIndia @NRCgov @RahulGandhi @Mayawati https://t.co/DyqENSfHUt'","Guwahati, India",438156528,pratidintime,1
2019-04-22 06:53:09,"b'Exclusive  \xe2\x80\x98Will investigate Rafale deal if Congress comes to power\xe2\x80\x99, says Rahul Gandhi via @htTweets https://t.co/BoBQakPWIY'","Imphal, India",781530080392556544,INCManipur,1
2019-04-22 06:48:20,b'@aajtak @mausamii2u I wish congress dares to do that',"Barpeta, India",163397815,drkdutta,0
2019-04-22 06:20:25,"b""@saahilmenghani So, you are still praying for AAp- congress alliance. Haha.  But I don't see any such possibility !!""","Assam, India",184857920,OneMatchPoint,0
2019-04-22 06:10:49,"b""@AmitShah @BJP4Bengal Sir need of the hour is ORGANISED VOTING.Opposition and minorities r doing so.I am witness.Yet after availing all benefits of Modi Govt Muzis are enmasse voting Congress in Assam.We must not rely on 'Veed' in rallies alone.Our all fronts must b on high alert please. ITS URGENT""","Assam, India",105845260,kpic999,0
2019-04-22 06:07:56,b'Congress is the virus of this country. A party full of brain less people. #congress #CJIRanjanGogoi',"Jorhat, India",1055934467024408576,000Prayag,0
2019-04-22 06:03:36,b'NATIONAL | Congress Fields Sheila Dikshit For North East Delhi\n@SheilaDikshit @INCIndia #Congress #Delhi #LokSabhaElections2019 #Elections2019 \nhttps://t.co/iBseQXNdIn',"Guwahati, India",438156528,pratidintime,0
2019-04-22 06:02:28,"b""@narendramodi Sir need of the hour is ORGANISED VOTING. Opposition and minorities rdoing so.I am witness.Yet after availing all benefits of Modi Govt Muzis are enmasse voting Congress in https://t.co/BmpfDrypi2 must not rely on 'Veed' in rallies alone.Our all fronts must b on high alert please""","Assam, India",105845260,kpic999,0
2019-04-22 06:01:18,"b'In 5 years of PM Shri @narendramodi leadership, Assam got 3 new bridges over the Brahmaputra with another 5 being sanctioned\n\nCompare this to the 55 years of Congress rule in which time we got only three bridges. This commitment is the reason why \n\n#PhirEkBaarModiSarkar\n#VoteKar https://t.co/ymNKdynVnb'","Guwahati, Assam",4703034595,Sanjaykm2006,1
2019-04-22 05:26:58,"b'The National Security report for Congress Manifesto by General Hooda when implemented will make India a stronger nation. Read the report here: https://t.co/qKPqjtQd29 Show your love, help spread the message \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #MyIndiaStrongerIndia'",Dimapur,1072684064274927617,LongshiKikon7,0
2019-04-22 05:16:10,b'Was betrayed by Congress people: AIUDF\xe2\x80\x99s Ajmal https://t.co/gvzDR5JDL3',"Guwahati, Assam",3557266934,bikash_ET,0
2019-04-22 05:15:31,b'TNT | MANIPUR\n\n#ManipurNews The Manipur unit of the Bharatiya Janata Party (BJP) on Sunday filed a complaint with the Election Commission of India (ECI) against two Congress MLAs for allegedly threatening a police constable on poll duty. \nDetails here: https://t.co/Yu5NYXVYgy',"Shillong, India",1962400056,TNT_Magazine,0
2019-04-22 05:09:08,b'TNT | News\n\nThe BJP claimed that that the outlawed National Liberation Front of #Tripura (NLFT) was campaigning in favour of the Congress in the East Tripura Lok Sabha constituency...\nMore details-\nhttps://t.co/WZ4Jra4HxL',"Shillong, India",1962400056,TNT_Magazine,0
2019-04-22 04:56:06,b'India\xe2\x80\x99s new approach to counter terrorism upsets Congress...Watch video to find out more!\nhttps://t.co/mPFDa59mBd',"Assam, India",1581967915,ManojTweets_,0
2019-04-22 04:48:58,b'#Tripura\xe2\x80\x99s ruling BJP accused banned insurgent outfits of campaigning in favour of Congress for #LokSabhaElections2019 and demanded that the ECI take immediate action against them.\n\nhttps://t.co/PY6ebvH0xX',"Guwahati, India",963367366087380992,ie_seven,4
2019-04-22 04:40:32,"b'@Satyade65334711 @BJP4India @_pallavighosh And you are better than us, in bootlicking Congress. I hope they give a reward for that. A bharat ratna is on your way and an Ashok chakra to be brave enough to call oneself as main bhi pappu.'","Guwahati, India",755673568868900865,atreyeesarma123,0
2019-04-22 04:04:47,"b""Priyanka Chaturvedi did the right thing to leave Congress over what she had to go through post the Mathura incident. But the fact that she left one dynasty party for another one doesn't seem to be a matured choice at all. Hope she gets rewarded with a ticket in Assembly polls '19""","Guwahati, India",888784717549404160,uddipanghy,0
2019-04-22 04:02:44,"b""@Saurabh100a @davidfrawleyved I hope so. You have seen what's happening in Sri Lanka. Had modi been not here, Congress would have made the terrorists blow Indians out. May modi win, may dharma win, may the flag of Sanatan dharma rise once again. Jai Bhagwa. Jai Shree ram. Har har Mahadev \xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9""","Guwahati, India",755673568868900865,atreyeesarma123,0
2019-04-22 04:02:29,b'@msgoindi59 @TimesNow First time Rahul Gandhi filing nomination after NDA came into power. So many years congress  fooling us.',"Guwahati, India",2533073605,TapashAPO,0
2019-04-22 03:19:23,b'This is going to be nice fight Congress Vs Left in Kerala... https://t.co/wroKgz8qcn',guwahati,140070032,hemajitphukon,0
2019-04-22 03:18:09,b'@KarunaGopal1 Congress and left ecosystem....they are working together to demean our national heroes..',"Guwahati, India",1024991777705488387,BubuSushanta,0
2019-04-22 02:16:22,"b""@t_d_h_nair So you are calling a victim of pidis digvijay kakare congress . she doesn't become terrorist just cuz @digvijaya_28 want her to frame her https://t.co/f7N2J1XAw0""","Bengaluru, India",2899316787,NorthEast_se_hu,0
2019-04-22 02:06:38,b'@narendramodi Congress Essay Competition.',"Tinsukia, India",757232591468724224,PankajK33688284,0
2019-04-22 02:01:48,b'Intelligence is a critical imperative for national security. Timely and actionable intelligence is important to save the life of our jawans. CONGRESS plan is to strengthen our intelligence architecture. #GenHoodaNationalSecurity https://t.co/KZEVuUueJ7',"Guwahati, Assam, India",1449299132,ripunbora,8
2019-04-21 21:16:50,b'@Lalalal888Lol @kavita_krishnan yeah thats also i want..\nbut you know what TMC Congress PDP and NC are doing they are trying to create their voter card and Aadhar card for which supreme court asked for a report..\n\nBJP is doing for that. \nI want we people not any infiltrate one',"Assam, India",409476422,skm_2202,0
2019-04-21 20:50:50,b'@Lalalal888Lol @kavita_krishnan chodo aapko samjhana muskil hi hai..\nplease follow congress ideology \nDont go for hatred soch..\nGood night',"Assam, India",409476422,skm_2202,0
