time,text,location,userid,screenname,retweetcount
2019-04-22 08:34:05,"b""@narendramodi @PMOIndia\n #BJP must immediately find  a catch up for #Congress' #NYAY. Or else, fight will be much tougher.\nA common man's suggestion. It's up to #PartyLeadership  of BJP to pay heed or not .""","Patna,India",608929941,Professor_Jha,0
2019-04-22 08:32:54,"b""I haven't voted last time because I wasn't eligible to vote.. but this time I am going to give my #firstvote and I can't waste my vote.. so i will give it to the nation, kyonki #AayegaTohModiHi \xe2\x9c\x8a\n#BJP #PhirEkBaarModiSarkaar #LokSabhaElections2019 https://t.co/NI7Ad8RUFV""","Patna, India",726910983470518272,ishantenu,0
2019-04-22 05:30:20,"b'By introducing #SadhviPragya, an undertrial terrorism accused, as its candidate, the #BJP acknowledged that its development plank and good governance propaganda has no takers. \n#PragyaTerrorist #SadhviVsDigvijaya #HemantKarkare #HindutvaTerror\nhttps://t.co/yR9UWWBNEY'","Asansol, India",2616712501,peoples_review,2
2019-04-21 16:17:32,b'#BJP #NarendraModi #NewIndia \nMassive Job Creation under Modi Govt\nhttps://t.co/JBswU6LIRr\nvia NaMo App https://t.co/DPw0maU1BQ',varanasi,4604462172,Abhinav30751487,0
2019-04-21 16:05:29,b'#BJP #NarendraModi #NewIndia\nMassive Expansive in Opportunities Empowering the Youth\n\nvia NaMo App https://t.co/geWDNIBsSN',varanasi,4604462172,Abhinav30751487,0
2019-04-21 16:04:34,b'#BJP #NarendraModi #NewIndia\nEnsuring Holistic Welfare of Nari Shakti for New India\n\nvia NaMo App https://t.co/ujgrC6TOsP',varanasi,4604462172,Abhinav30751487,0
2019-04-21 16:03:13,b'#BJP #NarendraModi #NewIndia\nInfrastructure for New India\n\nvia NaMo App https://t.co/NTqRCIhoLt',varanasi,4604462172,Abhinav30751487,0
2019-04-21 16:01:59,b'#BJP #NarendraModi #NewIndia\nStrengthening Connectivity Infrastructure\n\nvia NaMo App https://t.co/ZBP1zoD9U8',varanasi,4604462172,Abhinav30751487,0
2019-04-21 16:01:18,b'#BJP #NarendraModi #NewIndia\nMassive Rural Infrastructure Boosting Rural Transformation\n\nvia NaMo App https://t.co/DSlnVUcAik',varanasi,4604462172,Abhinav30751487,0
2019-04-21 15:58:48,"b'#BJP #NarendraModi\nInstitutionalizing Honesty, Bringing a Culture of Transparency\n\nvia NaMo App https://t.co/I8mOuMF18b'",varanasi,4604462172,Abhinav30751487,0
2019-04-21 15:11:50,b'@vikasbha And they accuse #BJP of being intolerant? \xf0\x9f\xa4\xa8\n\n#LokSabhaElections2019 https://t.co/WlJaJGR3B9',"Varanasi, India",180327449,utkarshv13,0
2019-04-21 15:10:13,b'And they accuse #BJP of being intolerant?? \xf0\x9f\x98\x91 \n\n#LokSabhaElections2019 https://t.co/VsF3HpX7kl',"Varanasi, India",180327449,utkarshv13,0
2019-04-21 14:59:49,b'@Irahul_khandal @ndtv In 2 phases #BJP is hardly reaching double digits &amp; hence highly nervous &amp; trying their best to polarise!!!!!',ALLAHABAD,1160766422,SsyadavaYADAVA,0
2019-04-21 14:52:30,b'@varghesej835 @ndtv Actually #SadhviPragya assembled it for #BJP \xf0\x9f\x98\x80\xf0\x9f\x98\x81\xf0\x9f\x98\x82\xf0\x9f\x98\x83\xf0\x9f\x98\x84',ALLAHABAD,1160766422,SsyadavaYADAVA,0
2019-04-21 14:07:31,b'List of @BJP4India candidates for ensuing General Elections to the Parliamentary Constituency of difference states finalised by #BJP CEC. #LokSabhaElections2019 #IndiaWantsModiAgain https://t.co/D6dX3VI2sy',"Patna, India",3234899364,drsanjaymayukh,40
2019-04-21 13:02:41,"b'@aajtak @manjeet_sehgal #Congress,#BJP Very critical time for Indian democracy. Sanctity of SECULARISM in National Politcal Party in jeopardy? If you please Muslim by such slogan, are you secular? Is it???\nHow confidence of common people be restored? This is sad predicament for our political parties'","Sitamarhi, India",393432489,drachintya,0
2019-04-21 12:40:27,b'Save India\nVote for modi\n#BJP',Chittaranjan,499081804,RoyRatul,0
2019-04-21 04:06:50,b'@narendramodi Very Right Sir The #BJP &amp; #NDA alliance is going to sweep the #National_Poll__',Patna,880141153,SanjayS00663282,1
2019-04-20 19:42:54,"b""@AskAnshul Then, they didn't have guts! And now, they don't have an answer.\n\n#BJP #Congress #RahulCitizenshipControversy #PragyaThakur https://t.co/fVo6ddF0q3""","Ranchi, India",837526244904165377,modifiednikhil,0
2019-04-20 14:16:03,"b""Dear Sir, now you will declare as #BJP Supporter............  that's the tradition of #DIDI Govt. in Bengal https://t.co/dMLv9ISebb""","West Bengal, India",2946326820,TNTSAMMIR,0
2019-04-20 11:49:45,b'@narendramodi @rsprasad @BJP4India @BJP4Bihar My 4 yrs old brother asking vote for #BJP https://t.co/ojo5O0q53k',"Katihar, India",792198391891537921,utkarshntv,1
2019-04-20 11:08:40,"b'@ndtvfeed @ndtv Correct!!!With people like #ImranKhan supporting #BJP,he will be #PM again \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",ALLAHABAD,1160766422,SsyadavaYADAVA,0
2019-04-20 09:45:43,"b'An Eminent personality will join #BJP today (Saturday) 20 April, 4:00 PM at @BJP4India HQ, 6A Deendayal Upadhyay Marg, New Delhi. #IndiaWantsModiAgain'","Patna, India",3234899364,drsanjaymayukh,452
2019-04-20 09:28:31,"b'Dear People Of India, \n\nWhen you go to vote just remember that #Modi has backed those who cursed #HemantKarkare and wished him dead. #SadhviPragyaThakur \n\nIt is a sad day indeed. \n\nHate has made these guys and #BJP insane. They are a danger to our future. To your future.'","Chhapra,BIHAR,INDIA",781470578,Rakeshjeeinc,3
2019-04-20 09:11:47,b'#BjpWithKasab : Bad days #BJP. Your dhongi desh Bhakti exposed. \n\nIndia will NEVER EVER forgive you for humiliating #HemantKarkare . \n\nFrauds. \n\nLekin yeh #BhaktCharitra hai!',"Chhapra,BIHAR,INDIA",781470578,Rakeshjeeinc,3
2019-04-20 08:30:27,b'@ndtvfeed @ndtv Rather #BJP has lost sleep with hardly reaching double digits in 2 phases \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',ALLAHABAD,1160766422,SsyadavaYADAVA,0
2019-04-20 07:23:39,"b'Wy nt whn yr goons nt letting people vote if they are #bjp supporter. Shame on @ndtv\n You are also with them. Just to oppose modi you can support anyone\n\nGeneral Elections 2019: No Laddoo, BJP Will Score ""A Big Rosogolla"" In Bengal: Mamata Banerjee - NDTV https://t.co/dMF1mDDtH1'","Patna, India",439130852,manojmimansak,0
2019-04-20 07:20:43,"b'Look at the #bjpgovernment an electric man on the pole of electricity without any support no special shoes no glove only naked foot and naked hand ,is this the appropriate system of work there is no care of humans life in this #government. #corruption #antibjp #BJP #bycottbjp #In https://t.co/MKbD0s4Ite'","Allahabad, India",979075017425088513,IAmRizviShb,0
2019-04-20 07:15:37,"b'The spokesperson of the political parties are the unpaid bogus animals on the unclaimed roads, #bjp #pankhuripathak #gauravbh samajwadi #congress #priyankac19 After losing the #NCP election from the Congress, #sambitswaraj will replace BJP from #AAP, say it, will speak  Speaks of'","Nalanda  &  Jehanabad, India",794193209220022272,sudhir94700,0
2019-04-20 06:35:39,"b""Pic 1\xf0\x9f\x91\x89 World's Most followed Leader on #instagram\nPic 2\xf0\x9f\x91\x89 World's 3rd most followed Leader on #Twitter\nPic 3\xf0\x9f\x91\x89 world's most followed page of Leader on #Facebook\n@narendramodi\n#narendramodi\n#follower\n#worldleader\n#leader\n#india\n#namoagain\n#bjp\n#harvotemodiko\n#votekar\n#nationamo https://t.co/AmP9jWhQW3""","Varanasi, India",3149581884,puneet705,0
