time,text,location,userid,screenname,retweetcount
2019-05-12 07:48:32,b'My Sincere gratitude to entire nursing fraternity who are working diligently &amp; selflessly in the service of mankind #InternationalNursesDay  #UmeshAgarwalBJP #BJP https://t.co/ouw9PhtC8Y',"Dehradun, India",714382026162343937,UmeshAOfficial,0
2019-05-12 07:07:34,b'My first vote goes for... BJP.. #NarendraModi.. #BJP... #AayegaTohModiHi.. #AbkiBaarKiskiSarkar https://t.co/XpFvtE2HLy',Haryana,1614529243,ajjuverma900,0
2019-05-12 06:53:37,b'Spread love nd Must cast ur vote #PhirEkBaarModiSarkar\n#\xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\x9c\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f \n#NamoAgain #Bjp @BJP4India\n@BJP4Haryana #ModiOnZee\n#VoteForBJP Happy #MothersDay\n#SanjayBhatiaForKarnal \n#LoksabhaKarnal #Karnal @BJPLive \n#aajtak #abpselfie #animallovers #ElectionsWithNews18 # https://t.co/1whbW9yyPY',"Haryana, India",1591103478,Bhatia3060,0
2019-05-12 06:50:43,b'Spread Love nd Humanity \xe2\x9d\xa4 #PhirEkBaarModiSarkar\n#\xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\x9c\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f \n#NamoAgain #Bjp @BJP4India\n@BJP4Haryana\n#VoteForBJP \n#SanjayBhatiaForKarnal \n#LoksabhaKarnal #Karnal @bjpsanjaybhatia #VotekarIndia\n\n#picoftheday #mothersday #animallovers #love https://t.co/FsomglndtG',"Haryana, India",1591103478,Bhatia3060,0
2019-05-12 05:45:18,b'#VotingRound6 First  Time Voter\n#Bjp #votefornewindia https://t.co/jnMPvso3Sp',"Ambala, India",3169062613,shivi720,1
2019-05-11 18:54:53,b'Happy Mothers Day to our first love\n#BharatMaa\n\nVote for our mother tomorrow\nVote for #BJP\nVote for #ModiJi\n@PMOIndia @narendramodi @mlkhattar @kumarvijayhry',"Hisar, India",804299194634682368,CASAHILATTRI,0
2019-05-11 17:26:16,"b""Stop playing caste politics. Mayawati, Akhilesh Yadav,Gulam Nabi Azad &amp; others. It's too much. Voters are very intelligent. They will decide fate of the country.#BJP #mayawati #AkhileshYadav #gulamnabi #DeshKeDilMeiModi""","Gorakhpur, India",1099131479940988928,DurgeshChandMi1,0
2019-05-11 14:47:28,"b""I appeal all my sister's &amp; brother's of #Bihar, #Jharkhand,#WestBengal\n #MadhyaPradesh, #UttarPradesh &amp; turn out in record numbers and vote for @BJP4India. Ur one vote will lay d foundation of prosperous, Good Governance, National Security. #Vote4BJP #2019Elections #BJP""",Jalandhar,22253985,kambojOffice,0
2019-05-11 14:36:51,"b""The strength of #BJP is Team Work, Unity &amp; Dedication of its workers!\nReflected today at #SukhnaLake, when @BJP4Chandigarh @BJYMinCH team were campaigning to make people aware of Modi govt's achievements &amp; encourage everyone to #Vote4BJP in #Loksabhaelections2019.\n@KirronKherBJP https://t.co/lJ1De2Crze""","Chandigarh, India",382812503,SanjayTandonBJP,10
2019-05-11 13:39:57,"b'@nikita_yadav @HaryanaKiBetii @JJPofficial Aur Mera bhi ryt hai apne candidate se questions krna &amp; mere village mein jitna development @narendramodi , @cmohry ne Kiya hai utna aaj tak nhi hua, so trust me #bjp is going to win from here \n""This time #haryana will caste vote , not vote for caste""'","Haryana, India",313451974,Akshay_yadav96,0
2019-05-11 12:25:33,b'@AnupamPKher why did you ran away instead of answering ? \nU can atleast him one or two achievements like #FakeGDP numbers or #FakeJobs etc. \n\n#LokSabhaElections2019 \n#LokSabhaElection2019 \n#LokSabha2019 \n#GeneralElections2019 \n#IndiaElections2019 \n#IndiaVotes2019 #Modi #BJP #NDA https://t.co/LTvx6iEXPz',"Punjab, India",405970170,akshayKGT,0
2019-05-11 11:30:10,b'BJP already lose 3 seat in Haryana \nRohtak \nSonepat \nHisar \n#BJP #Congress #Haryana',Haryana,1669569960,AjaySheokand3,0
2019-05-11 10:52:35,b'Hypocrisy at its best @sherryontopp! While in @BJP4India uttered bad for #congress &amp; now in @INCIndia uttering worst for #bjp. You were better while sitting on a laughing chair than being in politics.\n#dogula #disgraceful #LokSabhaEelctions2019 #Elections2019 \n\n#dbz_diary',"New Delhi, India",110637360,iHarishBhardwaj,0
2019-05-11 10:34:40,"b'@sonaliranade As a #Sikh I endorse dt. We will never forget, but hv moved on by pushing it to the back of our minds. Making #MMS as #PM is one of the balms applied by @INCIndia\n Whereas 2002 is not only endorsed, but victimisation of #Muslims by #BJP continues by denying them any tickets\xf0\x9f\xa4\x94'","Chandigarh, India",154103630,cmkahlon,0
2019-05-11 07:20:27,"b'@BJP4India needs to save itself from #BJP only, it was not what it has become. what are seniors leaders doing? are they afraid of someone? \nIs opposition able to utilize this void I wonder!\n@rajnathsingh @SushmaSwaraj @nitin_gadkari @ppbajpai @UrmileshJ'","Dehradun, India",2588707111,stoic_gautamkr,0
2019-05-11 03:59:35,"b'In election campaigns on social media, @bjpchandigarh @socialmedia4bjp @KirronKherBJP #bjp handle on #Twitter crosses 11 million followers. https://t.co/4JVzAM8jl9'","Chandigarh, India",26181553,corepr,0
2019-05-11 02:51:49,"b'@RadioMirchi Stop playing recording of yesterday at Jalandhar. Same program with same fillers by #RJAditya #Shameful isn\xe2\x80\x99t it. Otherwise also these days it seems as we are tuned in to #BJP headquarters when we try to listen radio, too much advertisement from a single party.'",Jalandhar,108309267,gsb2041,0
2019-05-10 23:32:51,b'Getting ready for another term of conservative right win in India with a grand BJP win May 23rd  - taking bold call and predicting a win like a soothsayer \xf0\x9f\x98\x8a #bjp #india https://t.co/VXMGj4JdIE',"Gorakhpur, India",63331722,mphholdings,3
2019-05-10 17:50:00,"b""@narendramodi Respected Sir, Chance to win in Punjab is difficult for #akalidal. In that case I am going to push a button #Nota. As a youngster my opinion is to make separate #BJP party in Punjab and don't give #samarthan to akalidal, if you want to\xe2\x9c\x8c\xef\xb8\x8f#aajtak @anjanaomkashyap""","Punjab, India",1101522597781663749,Simerpr59902231,0
2019-05-10 15:20:02,b'@theskindoctor13 In #hisar big fight between #BJP and #JJP.',"Hisar, India",364194733,jagdeepsoul,0
2019-05-10 14:51:04,"b""Lets gear up for voting.. Got voting slip from #ElectionCommission..\n\n@narendramodi can't wait to vote for #BJP\n\n#19May #HimachalPradesh #Election2019.. Don't forget to cast your vote.\n\n@dilbagkoundal @Srijan80531911 @BeingPahadia @Abhi_Bhadawar @BJP4Himachal @rashtrawadi9 https://t.co/2VvprkwGZ2""",shimla,128481019,Amtthakur,1
2019-05-10 13:40:29,b'My vote is for Mr. Modi not for Ratan Lal Kataria @narendramodi #bjp #Haryana #Elections2019',Chandigarh/ India,190520130,iJaspreetGulati,0
2019-05-10 11:41:44,b'@narendramodi @PMOIndia @ZeeNewsHindi @the_hindu @theskindoctor13  @RahulGandhi does anyone have any information about this video #something_wrong #bjp #Congress #NarendraModi #RahulGandhi https://t.co/Xc4JvVxaoR',"Hisar, India",364194733,jagdeepsoul,0
2019-05-10 11:25:07,"b'@GautamGambhir @ArvindKejriwal @aap Now this is like true #BJP leader, but this is an old dialogue already used #UmaBharti #SmritiIrani and shri shri #Modi ji on different occasions. Although they too failed miserably in performing duties &amp; keeping words. You too are same. #BJP_\xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x93_\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6_\xe0\xa4\xac\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\x93 #JayegaToModiHi'",Jalandhar,108309267,gsb2041,0
2019-05-10 11:20:25,"b""@rsprasad while listening to a friends' story of how our judicial and legal system has failed us, I wondered why these issues are never part of election campaigning? Do these issues don't have a solution or are these not imp. for parties? #BJP #Congress""","Chandigarh, India",39729663,GargPiyush1807,0
2019-05-10 10:34:18,b'Haryana Parliamentary Results \nBJP : 6-8 \nCongress : 2-4 \nJJP : 0-1 \nOthers : 0 \n#INLD #JJP #INC #BJP',Haryana,1669569960,AjaySheokand3,0
2019-05-10 10:29:21,b'Today \nKkr : BJP\nKarnal : BJP\nSonepat : BS Hooda \nRohtak : DS Hooda \nAmbala : 50:50\nSirsa : Triangular Congress Favor \nHisar : BJP favor \nBhiwani : 50:50\nFrd : Triangular BJP Favor \n#Haryana #BJP #INLD #JJP',Haryana,1669569960,AjaySheokand3,0
2019-05-10 08:20:36,b'These 7 #BJP MP did nothing for Delhi will you become fool again? Vote for @AAPDelhi \n#UnitedByVote #AAPCandidates #IStandWithAtishi #IStandWithGambhir #ModiHiAayega #DilliKeDilMeinCongress #dilliwithkejriwal #JitegaModiJitegaBharat #MODI #AAP #Congress https://t.co/mZavQu15Y6',"Mohali, Punjab, India",138404537,gulshan003,0
2019-05-10 07:13:37,b'These inmates have more humanity alive in them than the communal thugs of #RSS #BJP who give tickets to terror accused and garland lynchers.\n\nhttps://t.co/0XZ3znEXml https://t.co/F4X6pTE6Sh',"Ludhiana, Punjab",405527363,IqbalGrewal1,18
2019-05-10 05:28:46,"b'Why its only #AAP Vs #BJP in #Delhi , #Congress plays as a spoiler. Every vote to congress will directly or indirectly help BJP. Read Here: https://t.co/HpvVI0R99W\n@AnkitLal @Ankita_Shah8 @deeppant2 @neo_pac @chowhanpriyanka'",Chandigarh,2734847108,SharuAggarwal,3
2019-05-10 04:35:02,b'@aajtak @chitraaum Harsvardha is best and lots of people like his clean personality and his political career. Then Dr. saab high percentage of winning #DelhiWithModi #BJP #VoteForIndia #youngvoter',"लुधियाना, भारत",720246305646194688,happyrajput170,0
2019-05-10 04:33:04,b'Election campaign with a twist in #Delhi as parties take culinary route to win support of migrants https://t.co/im5HAeVxHH @livemint #AAP #BJP #Congress #Elections2019 #LokSabhaElections2019',"New Delhi, India.",171872877,pretikakhanna,0
