time,text,location,userid,screenname,retweetcount
2019-05-12 09:18:22,b'#VotingDay\n\n#BJP waale 1000 Rs per vote de rhe hai but apna vote #Congress ko hi jaayega. #VoteForChange. Guys Vote for Better India. Jai Hind \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3',Chandigarh,1045744938757939200,Sarcastic_Rocky,0
2019-05-12 09:17:49,b'We vote today\nWe vote for #congress\n@INCIndia\nWe vote for #KumariSelja\n#SeljaForAmbala @kumari_selja https://t.co/WFpdeWP8V4',"Yamuna Nagar,Haryana,India ",1198178202,UmangSharmaINC,10
2019-05-12 08:39:50,b'I voted !\n#election #vote #politics #india #bjp #congress #elections #narendramodi #news #rahulgandhi #modi #indian #amitshah #follow #rss #democracy #voting #bhfyp #delhi #pemilu #namo #bollywood #electionday #rajasthan #instagram #mumbai #love #like #ipl #bhfyp https://t.co/Z6SLrdQIY4',India,2988130003,gouravgupta1721,0
2019-05-12 06:57:09,b'My mother t.v interview as ex sarpanch\n\nShe clearly said \nI voted for #congress #VoteForSelja\n#SeljaForAmbala #AmbalaWithSelja \n@INCHaryana @kumari_selja @INCIndia https://t.co/2il6XjrwTw',"Yamuna Nagar,Haryana,India ",1198178202,UmangSharmaINC,11
2019-05-12 06:53:28,b'@SheilaDikshit We All love you....#best #Congress #HappyMothersDAy',Shahabad Markanda ,3152657197,kakkar2111,0
2019-05-12 05:50:33,"b'@amitmalviya @TajinderBagga These #ForSale #Congress people like  @ManishTewari think that everything is up for #Sale. Sorry, not everyone belongs to #Congress.'","Mohali, India",3923527693,paramveergill_,0
2019-05-12 05:37:46,"b""@RahulGandhi Yes. The Nation can't be run according to #Congress culture of #Master and #Slaves.""","Mohali, India",3923527693,paramveergill_,0
2019-05-12 05:07:02,b'@ndtv I support #congress',"Punjab, India",399870762,sandeeptathgar,0
2019-05-12 04:52:21,"b""The political circles are discussing the statement by @capt_amarinder of projecting @sunilkjakhar as the CM. Observers believe that it won't go down well among the other senior #Hindu #Congress leaders of #Punjab. @INCIndia @BrahmMohindra @preneet_kaur @DharamvirGandhi""","Patiala, India",4781470543,ptcgagan,0
2019-05-11 16:19:32,b'This guy has come a long way from the disastrous speech with arnub in 2014 to this interview. If u think Rahul Gandhi is Papu u must see this interview. hoping for such a similar interview of modi.#LokSabhaElections2019 #Congress #RavishKumar #RahulGandhi https://t.co/wF7LQolhF9',"Dehradun, Uttaranchal",70446217,samarth89,0
2019-05-11 13:34:04,b'In support of my friend @KewalDhillonINC today at Barnala. The huge turnout of #Congress supporters is a clear indication of where the wave is in Punjab.\n#Mission13 #LokSabhaEelctions2019 \n@INCIndia @INCPunjab https://t.co/3Tg7W75IhL',"Punjab, India",748124562924146688,iranasodhi,7
2019-05-11 13:21:32,"b""Campaigning For Mr. Mohammed Sadiq In Moga Under #Faridkot Constituency, Really Interesting To Work On The Ground Level, Especially When You Get Positive Response From People. I'm Sure #Congress Going To Clean Sweep All Over #India, Lucky To Be Part Of This Campaign  #AbHogaNyay. https://t.co/6ZAkS5VIk9""","Moga, Punjab, India",2946688566,drharjotkamal,3
2019-05-11 11:30:10,b'BJP already lose 3 seat in Haryana \nRohtak \nSonepat \nHisar \n#BJP #Congress #Haryana',Haryana,1669569960,AjaySheokand3,0
2019-05-11 11:21:17,"b""@SSunderdeep True! In last 2-3 years, fortunes of Congress have changed might be due to the RaGa's leadership and introduction of Priyanka.\n\nIt's good to have strong Opposition.\n#Modi #Congress #LokSabhaElection2019""","Nabha, Punjab, India",449665060,18AmrinderSingh,0
2019-05-11 10:52:35,b'Hypocrisy at its best @sherryontopp! While in @BJP4India uttered bad for #congress &amp; now in @INCIndia uttering worst for #bjp. You were better while sitting on a laughing chair than being in politics.\n#dogula #disgraceful #LokSabhaEelctions2019 #Elections2019 \n\n#dbz_diary',"New Delhi, India",110637360,iHarishBhardwaj,0
2019-05-11 02:34:53,b'#Poll code #violation : District Election Officer awaits report even after a week \n#RajaWarring #Congress #Lambi #Muktsar #Bathinda #Punjab #LokSabhaElections2019 @thetribunechd @SpokespersonECI  @ECISVEEP @TheCEOPunjab https://t.co/OFjWwdQqbY',Muktsar,99312726,archit0078,1
2019-05-10 21:21:40,"b'In elections No party cares about unemployment, education system, resources, corruption or any other social issue. All fight is on statements. We the youth want employment not politics. \n#BJPMission2019 #Congress #MahaGathbandhan #narendramodi #RahulGandhi #IndianElections2019'","Dehradun, India",707424306083602432,N_C_Joshi,1
2019-05-10 20:30:12,b'This is Actual #adversity of #Congress \n\n#Leadership should take this seriously #1984SikhGenocide was not to be presented like #HuaTohHua \nImmature @sampitroda #SamPitroda https://t.co/xdOoXfyJRF',"Panchkula, India",1126944909821218817,poolbox9,0
2019-05-10 20:03:56,"b""&amp; more than half of our country's population feel ashamed to have a PM like @narendramodi ... #India #GautamGambhir #Kejriwal #Chowkidar #deshbachao #Congress #AAP #JaiHind #DividerInChief https://t.co/eYp7ckanWX""","Chandigarh, India",757436849275203584,ajaybrar_one,1
2019-05-10 19:54:07,"b'@VRainaINC @INCIndia @sampitroda @VRainaINC I totally agree with your statement, he is immature \nhis statements destroyed the #Congress in elections'","Chandigarh, India",1126933725365669889,Indian_Sana,0
2019-05-10 19:49:19,b'Toh? Should we always vote for #Congress coz they provided us phones? Such a cheap man you are @sampitroda https://t.co/gt5Lvkch01',"Patiala, India",962620371093483520,SunnyPaajiHero,0
2019-05-10 17:54:45,b'@sampitroda @sampitroda is curse for #Congress How he is authorised to speak so indecently about #1984SikhsGenocide #RahulGandhi must reply to nation that #SamPitroda is involuntary Baggage. He must sent back IMMEDIATELY to recover further losses in election.',Panchkula,1033067874,VRainaINC,1
2019-05-10 17:29:53,b'@RahulGandhi must clarify the role of @sampitroda in @INCIndia since he claims  himself as #advisor to you and your father\nWhy he is giving such sentimental statement for on #1984SikhsGenocide \n#RahulGandhi must clear his stand for #SamPitroda is asset or luggage for #Congress',"Panchkula, India",379037812,Souravsharma_16,1
