time,text,location,userid,screenname,retweetcount
2019-05-11 14:21:51,"b'@BJP4India When #bjp wins then #congress ""#huatohua""'","New Delhi, India",1126894200744624128,SACHIN73307634,0
2019-05-11 14:18:09,"b'@BJP4India #CONGRESS has expertise in this type of matters ,but how pm modi knows about that ,I think  some RSS members also included in #inc'","New Delhi, India",1126894200744624128,SACHIN73307634,0
2019-05-11 14:08:48,"b'1984 anti-Sikh riots happened, so what? says Congress leader Sam Pitroda #SamInsultsSikhs\n#SamPitroda\n#RahulGandhiToNDTV #Rahul  #antitrust #SikhGenocide1984 #SikhGenocide #1984SikhGenocide \n#1984SikhsGenocide #Sikhs #SikhRiots #CongKaSelfGoalHua #Congress #ElectionCommission https://t.co/sGaBI4BVRF'","New Delhi, India",248334561,cartoonistamit,0
2019-05-11 13:31:45,"b'The proposed Nyuntam Aay Yojana (#NYAY) of the #Congress is ""evidence"" of the failure of its earlier governments, senior #BJP leader #PMuralidharRao said on May 11, while targeting the 55 years of rule by the #Nehru-#Gandhi family.\n\n#LokSabhaElections2019 #Dangal2019\n\nPhoto: IANS https://t.co/1RwCeuuFhd'",New Delhi,141584822,ians_india,0
2019-05-11 13:30:17,"b'A day before the #LokSabhaElections2019 in all the seven #parliamentaryconstituencies in #Delhi, #Congress leader and former Delhi Minister #RajKumarChauhan jumped ship to the #BharatiyaJanataParty (#BJP) on May 11.\n\n#LokSabhaElections2019 #Dangal2019\n\nPhoto: IANS https://t.co/mDPVxY3gmd'",New Delhi,141584822,ians_india,0
2019-05-11 13:00:51,b'Rahul Gandhi wants to defeat Modi with \xe2\x80\x98love\xe2\x80\x99\n\n#BJP #Congress #India #LokSabhaElections #elections2019  #RahulGandhi #NarendraModi \nhttps://t.co/bUpj55oMIA',"New Delhi, Delhi",3168249863,WeForNews,1
2019-05-11 13:00:46,"b'#Congress President #RahulGandhi has told the #ElectionCommission (#EC) that he did not violate the #ModelCodeofConduct and asked it to maintain a fair, non-discriminatory and non-arbitrary attitude in dealing with complaints.\n\n#IndiaElections2019 #LokSabhaEelctions #Dangal2019 https://t.co/nrr8yCXdqY'",New Delhi,141584822,ians_india,0
2019-05-11 12:57:53,b'6th phase crucial for NDA in Bihar: Stakes are high\n\n #BJP #Congress #India #LokSabhaElections #elections2019 \nhttps://t.co/JgRh3ZroNB',"New Delhi, Delhi",3168249863,WeForNews,0
2019-05-11 12:57:10,"b'The #KeralaCongress (Mani), the third biggest party in the #Congress-led United Democratic Front (#UDF), is yet to name a new party chief after the death of its founder and chieftain #KMMani last month.\n\nPhoto: IANS https://t.co/Ky6K0yOREh'",New Delhi,141584822,ians_india,0
2019-05-11 12:56:00,"b""#Sunny rides on star power, anger over #Congress' unkept promises\n\n#LokSabhaEelctions2019 #Dangal2019 #GeneralElections2019 \n\nPhoto: IANS https://t.co/5oY3O9jGYV""",New Delhi,141584822,ians_india,0
2019-05-11 12:55:36,"b'Sidhu calls BJP \xe2\x80\x98Kale Angrez\xe2\x80\x99, Patra hits back\n\n#KaleAngrez #NavjotSinghSidhu #BJP #Congress #India #LokSabhaElections #elections2019 \nhttps://t.co/rOuGxwpLQJ'","New Delhi, Delhi",3168249863,WeForNews,0
2019-05-11 12:54:57,b'#Congress President #RahulGandhi has posted a picture of himself on #Instagram which shows him trying to fix a #helicopter.\n\n#LokSabhaEelctions2019 \n\nPhoto: Rahul Gandhi / Instagram https://t.co/BKgHruhKmH',New Delhi,141584822,ians_india,0
2019-05-11 12:50:12,b'Set back to Congress ahead of polling in Delhi\n\nFormer Delhi Minister and senior #Congress leader Raj Kumar Chouhan joins #BJP. \n\nHe was not happy with party leadership for denying ticket from NW Delhi\n\n#Rajkumarchouhan',Delhi,1098452167,mi6rajesh,0
2019-05-11 12:45:46,"b'#Congress leader and #Punjab Minister #NavjotSinghSidhu stirred a controversy on May 11 by calling the #BharatiyaJanataParty (#BJP) ""#KaleAngrez"" (black Englishmen) and likening Prime Minister #NarendraModi to a bride who pretends to do work.\n\n#LokSabhaEelctions2019 #Dangal2019 https://t.co/ArBBfAQ0Hq'",New Delhi,141584822,ians_india,0
2019-05-11 12:43:24,"b'Reverting to Prime Minister #NarendraModi \'s attack on his family, #Congress President #RahulGandhi on May 11 said he would ""never hate #Modi"" as he believed the ""PM can be defeated only with love"".\n\n#LokSabhaEelctions2019 #Dangal2019 #GeneralElections2019 \n\nPhoto: Congress https://t.co/JdeP7UQtJR'",New Delhi,141584822,ians_india,0
2019-05-11 12:41:37,b'People of India will send Modi for treatment on May 23rd: Kapil Sibal\n@KapilSibal @narendramodi_in @arunjaitley\n\n#KapilSibal #India #elections2019 #LokSabhaElections #Congress \nhttps://t.co/EfDj5s93iv',"New Delhi, Delhi",3168249863,WeForNews,0
2019-05-11 12:38:05,"b'@INCIndia Raj Kumar Chauhan blames @SheilaDikshit for leaving #Congress. Says, joined @BJP4India due to @narendramodi policies. https://t.co/BBuEGqgTQk'",India,798665400,reporter_pooja,0
2019-05-11 12:27:44,b'#Congress also waived off loan of #ShivrajChouhan\xe2\x80\x99s family members: #RahulGandhi https://t.co/x7FjbRT0yW',New Delhi,69544090,ANI_multimedia,0
2019-05-11 12:15:22,b'@Sprinkl10582325 No I am not Chowkidar of India nor I want 2 be Chowkidar or thekedar.I am just\n true nationalist not like u who is pseudo-secular liberal from bottom of her heart\nBy the way what do get by constantly licking the foot of #Congress &amp; #Communists?\nAns. Money or limelight...right\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/pzHaNkSqvr',India,2541551799,Arnab_Dutta1,0
2019-05-11 11:42:16,b'The Lessor Known Fact About #Congress !!! India Lost 15000 People In Sri Lanka During LTTE Operations ! https://t.co/RYM1aS6uEj',Noida Sector 137,1009106178675126274,nikunj_akhil,1
2019-05-11 11:40:27,b'@BJP4India Small Kid \xf0\x9f\xa7\x92 even know Side effects of Voting National party of India #Congress \n\nAbki Baar.....?\n\n@BJP4India @narendramodi @ManojTiwariMP @KirronKherBJP @ShahnawazBJP @VijayGoelBJP @MenonArvindBJP @BJPShivPShukla @AshwiniBJP @SudhanshuBJP @bjpdelhisupport @bjpdelhiwest https://t.co/T8ecsirI8s',"New Delhi, India",132470444,VaibhavJain209,1
2019-05-11 11:38:50,"b""#SamPitroda's comments expose #Congress's mindset, #NarendraModi govt punished anti-Sikh riots accused: #AmitShah \nhttps://t.co/VyQc1CIVyb""","New Delhi, India",50279781,FinancialXpress,0
2019-05-11 11:37:05,"b'Change is up to You , VOTE. \n\n#elections2019 #loksabhaelections #VoteForChange #LokSabhaElections2019 #BJP #Congress #AAP https://t.co/JJYobpWtkX'","New Delhi, India",898430040873902080,daya_charan,0
2019-05-11 11:36:48,b'#Congress accuses #AAP of propagating false survey results through phone calls to voters\nhttps://t.co/Xnqt1hlBvM',"New Delhi, India",50279781,FinancialXpress,0
2019-05-11 11:35:33,b'Who Among Them Should Lead India as The Next PM ?\n\n#LokSabhaElections2019\n#Loksabha2019 #India #indiaelects #VoteForIndia #votekar #votinground1 #voting #bjp #congress #aap #tmc #VoteForChange Please #RT',New Delhi,294020478,ravikikan,0
2019-05-11 11:35:25,b'@BJP4India @AmitShah Small Kid \xf0\x9f\xa7\x92 even know Side effects of Voting National party of India #Congress \n\nAbki Baar.....?\n\n@BJP4India @narendramodi @ManojTiwariMP @KirronKherBJP @ShahnawazBJP @VijayGoelBJP @MenonArvindBJP @BJPShivPShukla @AshwiniBJP @SudhanshuBJP @bjpdelhisupport @bjpdelhiwest https://t.co/HZI3TeEpl5',"New Delhi, India",132470444,VaibhavJain209,3
2019-05-11 11:35:04,b'@BJP4India Small Kid \xf0\x9f\xa7\x92 even know Side effects of Voting National party of India #Congress \n\nAbki Baar.....?\n\n@BJP4India @narendramodi @ManojTiwariMP @KirronKherBJP @ShahnawazBJP @VijayGoelBJP @MenonArvindBJP @BJPShivPShukla @AshwiniBJP @SudhanshuBJP @bjpdelhisupport @bjpdelhiwest https://t.co/t9IkzxDLUv',"New Delhi, India",132470444,VaibhavJain209,1
2019-05-11 11:31:06,b'#AkhileshYadav accuses #Congress of spreading rumours about SP-BSP alliance in #LokSabhaElections2019\nhttps://t.co/tPFkVd6q9e',"New Delhi, India",50279781,FinancialXpress,1
2019-05-11 11:30:10,b'BJP already lose 3 seat in Haryana \nRohtak \nSonepat \nHisar \n#BJP #Congress #Haryana',Haryana,1669569960,AjaySheokand3,0
2019-05-11 11:24:41,"b""... as a begger asking for alliance negotiating in Rahul as PM. Both #AAP n #Congress r incompetent for Delhi. Only #BJP at Centre n state for d first time this election is capable of changing d fate of d NationalCapital as we'll hv a Govt who ll b answerable n can't run away...""","New Delhi,India",379344539,akhilraj_RAJA,0
2019-05-11 11:24:38,"b""has exposed both d parties although we knew d character of #Congress but AAP has taken the politics of alliance for bargaining seats to a new low when d party's very existence was in d name of fighting corruptions of Congress however it failed even after Kejriwal getting on knees""","New Delhi,India",379344539,akhilraj_RAJA,0
