time,text,location,userid,screenname,retweetcount
2019-05-01 13:23:38,b'Brawling News\n\nMasood A to Join #BJP\n\xe0\xa4\x86\xe0\xa4\x8f\xe0\xa4\x81  \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xaa \xe0\xa4\xa7\xe0\xa5\x8b\xe0\xa4\xaf\xe0\xa5\x87\xe0\xa4\x81',Gujarat,2765957538,varnishant,0
2019-05-01 12:16:45,b'#Gadchiroli #GadchiroliNaxalAttack \n\nReflects \nFailed #Modi\nFailed #Rajnath \nFailed #BJP\nFailed #DeMo\nFailed #Fadnavis\nFailed #Doval \n\n#LokSabhaElections2019 Throw manhusiyat out',Gujarat,2765957538,varnishant,2
2019-05-01 12:14:26,b'@rahulkanwal @BJP4India @AmitShah This is what makes @BJP4India different.Terror attacks have occurred before also but nobody even attempted to respond but in BJP era @narendramodi gave it back to terrorism. Policy of zero tolerance against terrorism makes #BJP #PartyWithDifference Isliye to India says #NamoAgain',"Gujarat, India",3701031793,DrJankii,0
2019-05-01 11:02:56,"b'About 15 security personnels martyred in Maharasthra, after Naxals hit a police vehicle carrying them with IED. Why is the govt. silent on issues like this ?\nMay their soul rest in peace.. \xf0\x9f\x98\x93\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #Naxalattack  #BJP #Congress #India #Maharashtra'",Bhavnagar,826564483149611013,BrijGohil5,0
2019-05-01 04:22:47,b'#Election Results \xf0\x9f\x91\x87\xf0\x9f\x91\x87\n..\nI know #BJP is going to win.\n..\nLike and Subscribe the Channel .\n..\nhttps://t.co/HeI03BQuxl',"गुजरात, भारत",951819686647181313,yogi_8_,0
2019-05-01 01:49:07,b'EC bars #BJP #Gujarat chief Jitu Vaghani from campaigning for 72 hours https://t.co/4wwQffPn8e',"Gujarat, India",346406417,tv9gujarati,0
2019-04-30 19:10:05,"b'Ohh my god ! Very very huge setback for #BJP , as still 3 phase of #LokSabhaElections2019 are yet to come ! This could dent prospect of #BJP heavily ! It may lose 50 seats minimum ...So sad ! \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/DuUyTHY9tS'","Ahmedabad, India",34871124,HirenAntani,0
2019-04-30 15:59:46,b'@ggiittiikkaa #BJP should #STOP giving #Subsidy for #HAJ. Stop giving #Free #Delvery on more then 2 #Pregnency',"BARODA, INDIA",203779960,MukeshDolia,0
2019-04-30 15:52:06,b'@MPTakOfficial @aajtak @narendramodi @BJP4MP Looks like MP is not supporting #BJP in #election2019 why so ?',Ahmedabad,2260408868,imneeravpandya,0
2019-04-30 15:46:43,"b'@RahulGandhi you need to work a lot ........try to learn from each failure @narendramodi giving you training on politics ! You are at almost half an age of whole Team #BJP, your future seems to bright ...........just good people around you .....'",Ahmedabad,2260408868,imneeravpandya,0
