time,text,location,userid,screenname,retweetcount
2019-05-01 11:02:56,"b'About 15 security personnels martyred in Maharasthra, after Naxals hit a police vehicle carrying them with IED. Why is the govt. silent on issues like this ?\nMay their soul rest in peace.. \xf0\x9f\x98\x93\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #Naxalattack  #BJP #Congress #India #Maharashtra'",Bhavnagar,826564483149611013,BrijGohil5,0
2019-05-01 09:34:07,b'After listening #singhvi I understand that #Congress president is not having any respect towards #Supremecourt. How they are wasting time of #SupremeCourt. Support NarendraModi and Support nation. #proudtobeanIndian @narendramodi @myogiadityanath',VADODARA,266179755,Adarsh112,0
2019-04-30 08:46:58,"b""@KBhatt_Bhartiya @cashish22 @narendramodi @VMCVadodara @GujaratC Problem is we'll now have to suffer three years of the same old laziness, incompetence and downright stupidity in public office. I'm neutral, neither for #Congress or #BJP, I'm only for people actually doing the jobs they are being paid to do in the service of the people.""",Vadodara,1113473200283893761,VadodaraAirport,0
2019-04-30 08:38:00,"b'@subhrabanerjee @akkiiboy @RavinarIN Like I said politicians are not bothered about us or about doing their jobs, so many questions being put to them on Twitter but no responses. People should not have voted based on the #BJP or #Congress hype but on who is bothering to do their job. Will people remember next time?'",Vadodara,1113473200283893761,VadodaraAirport,0
2019-04-30 08:31:23,"b""@KBhatt_Bhartiya @cashish22 @narendramodi @VMCVadodara They all forget about us citizens when they move on or when they are too busy promoting themselves at functions to get elected. They're not bothered about us or doing their jobs, people should not have voted based on #BJP or #Congress hype but on who is bothering to do their job.""",Vadodara,1113473200283893761,VadodaraAirport,0
2019-04-30 06:19:42,b'@Ash_LoneHunter @EmpoweringGoa @rockingpkg @p7eiades @giri1478 @yusufiosys @crahul04 @Rolling47793781 @priyapyadav18 @highmettle @AvijitSinha5 @SatanicJumlas @aayeff1 @rajeshwarbal1 @madanchopra007 @itsmkyadav @KOLLEO @deepanjan_dr @TumhariN @BlackKn59506535 @ManojM66 @sibtehasan20 @sanjayuvacha @DickDarryl @KPadmaRani1 @chhotubharati @anup071254 @shivendushekhar @AjuMaaza @maqbool_sm @kirti_sd @Subytweets @m_ishaque3 @Nir0909 @nileshg6838 @NembuKol @foroneindia @VazeIndian @ShamilManzor @twilightfairy @INCTharoorian @RanjitOne @watdehel @joBeeGeorgeous @Shudraism @scrapravi @Bachhawat1957 @Samyuktha1908 @scroll_in Nope. He may b right to oppose #Modi But he is also not following heart of india -  #Secularism \nSo #Congress Must be there to beat all who r not with #Constitution !\nNo matter who he is : #PMModi or Soldier\n#TejBahadurYadav \n#Election2019\n\nThanks @AliSohrab007 for fb post ! https://t.co/qSOvjSYUgL',"Gujarat, India",2403247940,kajalgshilu,3
2019-04-29 15:47:28,b'Interesting: The real competition is now between #Congress &amp; #SP for second number position in #Varanasi\n#LokSabhaElections2019 https://t.co/iHnMFoyPpA',"Bhanvad, DevBhumi Dwarka",1562564844,DarshitJoshi_,0
2019-04-29 10:10:38,b'@digvijaya_28 PPL of India.......Look at this man CHOR KA BHAI MAHACHOR.......#looting #currupt #Congress #Vadra #landscams',"Gujarat, India",2898117408,vyas_falgun,0
2019-04-29 09:05:40,b'Regardless of who win #BJP Or #Congress har baar bechara EVM harta he! #EVMStory #Election',Ahmadabad,81614245,Chiragkapuriya,1
2019-04-29 05:04:23,b'@priyankac19 I hope you have not voted for #PappuKiSarkar #congress \xf0\x9f\x98\x9d\xf0\x9f\x98\x9c',"Ahmadabad City, India",724559667548938240,PrashaantSuthar,0
