time,text,location,userid,screenname
2019-04-07 14:04:12,b'This is y #Owaisi brothers are furious about #Modi... #MuslimWomenEmpowerment\n\n#ModiLaoDeshBanao \n#ModiHainTohMumkinHain https://t.co/bIN7Qjofpu',"Hyderabad, India",89156398,karunasagarllb
2019-04-07 13:52:17,b'#Modi wave world over... https://t.co/NSCIjkBkMU',Bharat (India),3234918668,arthashastra_
2019-04-07 13:46:28,b'Bhai #outgoingsirji #modi aap itna #dimaag mat #lagao aur #pakistan se #itna #mat #daro .we #indians know how to #deal with #pakistan and dont need #war #mongerers as #pm. and we dont need #chowkidaarsena . O #jaanewaalesirji ho sake to #Elections2019 ke baad laut ke mat aana https://t.co/jfQGicHAKQ',India,222867001,iaparty
2019-04-07 13:42:41,"b'#Modi ji is so humble that in his rallies he never mentions his greatest achievements - #demonetization, 100 #smart_cities, #cashless_India, 2 crore #jobs, #bullet_train, #GST and 15 lakh.'","Kolkata, West Bengal",409335789,iamsmnayar
2019-04-07 13:09:25,b'@BJP4India and @ShivSena biggest headache in Maha is not the Congo-NCP alliance \n\nIt is @RajThackeray who after yest speech has totally exposed the #Modi Gov \n\nWorst part is that this was only 1st of his 10 rallies \n\nDon\xe2\x80\x99t take #RajThackeray lightly coz he is ur worst nightmare',"Pune, India",726850031630700544,shonekelkar
2019-04-07 12:43:16,b'Much thanks my dear \xf0\x9f\x99\x8f\xf0\x9f\x98\x8a #ashishasmodi #modi @ErosNow @umeshkshukla @RidhimaLulla @MrsGandhi @narendramodi https://t.co/Mg1ewkIL3Y',"mumbai,india",98068972,ashish30sharma
2019-04-07 12:42:48,"b'*\xe2\x9c\x85Pulwama Attack Modi\xe2\x80\x99s \xe2\x80\x98#Karnama\xe2\x80\x99 As He Wanted To Win Elections: Farooq*\n\nSrinagar, April 7 : National Conference president Farooq Abdullah Sunday said the Central government knew of the Pulwama attack beforehand but allowed it to happen because\xe2\x80\x9d #Modi had to win elections.\xe2\x80\x9d https://t.co/pnhMLX35gJ'",India,842720892421619712,asiannewshub1
2019-04-07 12:38:13,b'@ErosNow Can you get us the videos of poems during the end credits of episodes?\n#modionerosnow \n#Modi #ErosNow\n#JourneyOfACommonMan',India,2835493783,ChweeneyTodd
2019-04-07 12:36:04,"b""@SmokingSkills_ Don't mind @INCIndia 's agenda , good for #Modi""","Mumbai, India",1103481236750647297,KamalBhatter1
2019-04-07 12:33:15,"b""@IndianExpress Since when did that English-speaking chimpanzee have the strength to slam @narendramodi ji? He can't stand in front of #Modi for 2 seconds.""","Kolkata, India",703475329701060608,justin23448669
2019-04-07 12:32:23,"b'Kashmiri genius #Farooque Abdullah,quoting an American\njournal,says,No PAK F-16 was downed by IAF n dat #Modi\nwas telling a lie..PENTAGAN announces,Not aware f any F-16\naudit. So then how do u rate d genius???!!!'","Mumbai, India",732090809961435136,crazycartoonsin
2019-04-07 12:30:38,"b""That's me in siliguri #Modi'sRally... Hey I didn't get my juice \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 https://t.co/a3BBxgXXYO""","Odisha, India",421495113,Annu_2179
