time,text,location,userid,screenname,retweetcount
time,text,location,userid,screenname,retweetcount
2019-04-07 14:48:25,"b""Will #RajThackeray's ferocious attack on #Modi govt have any effect on the #LokSabhaElections2019 - https://t.co/pSbAhigdqg #NarendraModi #MNS #IsBaarPhirModi""","Dadar, Mumbai",122993902,keyurhere,0
2019-04-07 14:48:18,"b""It's shows the confidence &amp; spirit of all #Indian around the world... \n\nEven public in general wish #Modi to continue &amp; Believe  #ModiHainTohMumkinHain \n#PhirEkBaarModiSarkaar https://t.co/Eu3zC0oMIl""","Mumbai, India",2902228428,radhe_trivedi,0
2019-04-07 14:29:10,"b""A relative who attended #RahulGandhi's interaction with students in #Pune tells me that the dance show and the songs were good. Nobody was allowed to ask questions to him. And they enjoyed chanting #Modi, Modi ... \xf0\x9f\x98\x82\nPretty much sums up #Congress campaign.""","Pune, India",74392560,shikhasalil,2
2019-04-07 14:24:58,b'#Modi The King of Asia',"Madhya Pradesh, India",863234429011079168,GouravJPSharma1,0
2019-04-07 14:19:29,"b'Has anyone heard #modi talk about\n\nJobs\nSkill India\nSmart Cities\nEconomy\nRupee Vs Dollar\nPetrol Prices\nGas Prices\nDemonetisation \nDaal Prices\nFarmers MSP\n\nCan 56"" once ask even the PAID public in his rallies : #AccheDin aaye ke nahi aaye? \n#BolChowkidarBol\n#IsBaarPhirModi'",India,1114576294656790528,Commonman543,0
2019-04-07 14:14:29,b'Current affairs : March 2019 | Quick Revision of Current Affairs Quiz 20... https://t.co/PrY9JLpQ08 via @YouTube #youtube #ias #upsc #modi #pm #india #chowkidarmodi #gk',India,4565620469,Click_How,0
2019-04-07 14:04:12,b'This is y #Owaisi brothers are furious about #Modi... #MuslimWomenEmpowerment\n\n#ModiLaoDeshBanao \n#ModiHainTohMumkinHain https://t.co/bIN7Qjofpu',"Hyderabad, India",89156398,karunasagarllb,2
2019-04-07 13:52:17,b'#Modi wave world over... https://t.co/NSCIjkBkMU',Bharat (India),3234918668,arthashastra_,0
2019-04-07 13:46:28,b'Bhai #outgoingsirji #modi aap itna #dimaag mat #lagao aur #pakistan se #itna #mat #daro .we #indians know how to #deal with #pakistan and dont need #war #mongerers as #pm. and we dont need #chowkidaarsena . O #jaanewaalesirji ho sake to #Elections2019 ke baad laut ke mat aana https://t.co/jfQGicHAKQ',India,222867001,iaparty,0
2019-04-07 13:42:41,"b'#Modi ji is so humble that in his rallies he never mentions his greatest achievements - #demonetization, 100 #smart_cities, #cashless_India, 2 crore #jobs, #bullet_train, #GST and 15 lakh.'","Kolkata, West Bengal",409335789,iamsmnayar,0
2019-04-07 13:09:25,b'@BJP4India and @ShivSena biggest headache in Maha is not the Congo-NCP alliance \n\nIt is @RajThackeray who after yest speech has totally exposed the #Modi Gov \n\nWorst part is that this was only 1st of his 10 rallies \n\nDon\xe2\x80\x99t take #RajThackeray lightly coz he is ur worst nightmare',"Pune, India",726850031630700544,shonekelkar,0
2019-04-07 12:43:16,b'Much thanks my dear \xf0\x9f\x99\x8f\xf0\x9f\x98\x8a #ashishasmodi #modi @ErosNow @umeshkshukla @RidhimaLulla @MrsGandhi @narendramodi https://t.co/Mg1ewkIL3Y',"mumbai,india",98068972,ashish30sharma,7
2019-04-07 12:42:48,"b'*\xe2\x9c\x85Pulwama Attack Modi\xe2\x80\x99s \xe2\x80\x98#Karnama\xe2\x80\x99 As He Wanted To Win Elections: Farooq*\n\nSrinagar, April 7 : National Conference president Farooq Abdullah Sunday said the Central government knew of the Pulwama attack beforehand but allowed it to happen because\xe2\x80\x9d #Modi had to win elections.\xe2\x80\x9d https://t.co/pnhMLX35gJ'",India,842720892421619712,asiannewshub1,0
2019-04-07 12:38:13,b'@ErosNow Can you get us the videos of poems during the end credits of episodes?\n#modionerosnow \n#Modi #ErosNow\n#JourneyOfACommonMan',India,2835493783,ChweeneyTodd,0
2019-04-07 12:36:04,"b""@SmokingSkills_ Don't mind @INCIndia 's agenda , good for #Modi""","Mumbai, India",1103481236750647297,KamalBhatter1,0
2019-04-07 12:33:15,"b""@IndianExpress Since when did that English-speaking chimpanzee have the strength to slam @narendramodi ji? He can't stand in front of #Modi for 2 seconds.""","Kolkata, India",703475329701060608,justin23448669,0
2019-04-07 12:32:23,"b'Kashmiri genius #Farooque Abdullah,quoting an American\njournal,says,No PAK F-16 was downed by IAF n dat #Modi\nwas telling a lie..PENTAGAN announces,Not aware f any F-16\naudit. So then how do u rate d genius???!!!'","Mumbai, India",732090809961435136,crazycartoonsin,0
2019-04-07 12:30:38,"b""That's me in siliguri #Modi'sRally... Hey I didn't get my juice \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 https://t.co/a3BBxgXXYO""","Odisha, India",421495113,Annu_2179,0
2019-04-07 12:30:23,b'A 2018 global survey by Gallup International shows that one of the most followed personalities on Twitter Prime Minister Narendra Modi is one of the most renowned leaders in the world. \n#NewIndia #NewIndiaArmy #NarendraModi #NaMo #Modi #PMModi #India #nation #CEO https://t.co/LqWRKdHs9h',"Mumbai, India",1103221354784940032,NewIndiaArmy,0
2019-04-07 12:13:12,b'Good Luck Modiji! @narendramodi bjp4india\n\n#meinbhichowkidar\n#phirekbarmodisarkar #phirekbaarmodisarkar #phirekbaarmodisarkaar #creativenails_d #creativenails_beautyproducts #modi\xe2\x80\xa6 https://t.co/TjCtFtk5nR',India,2835926644,CreativeNails_D,0
2019-04-07 12:12:45,b'Fitch rating firmly trusts modi economic reform policy by Prashant Ranjan #modi #Elections2019 #economy #india #FDI #BBB19 #BBB #IndiaWantsModiAgain #RATINGS https://t.co/z99EpMrTgS',India,2428722788,pranjan21,0
2019-04-07 12:06:40,b'@sidmtweets #Modi ji has no problems with the world Muslim even of Pakistan but has with his own Indian Muslims brothers n sisters.....why you hate us so much ...after all we to belong to our motherland.',"Mumbai, India",2205049262,sufiyaqur,0
2019-04-07 12:04:12,b'Big thanks to #RobertVadra for helping #Modi Ji &amp; #BJP https://t.co/c5G70LqgTq',"Hyderabad, India",769290246965997569,LadduYadav6,0
2019-04-07 12:04:00,"b'@majorgauravarya @ImranKhanPTI This is ""Modi Khauff"".  \nOnly reason why people should vote for BJP.\n#Pakistan ko #Modi ka naam hi kaafi hai.'","Mumbai, India",1085893044707176449,Uma82365839,0
2019-04-07 11:37:35,b'It\xe2\x80\x99s time to say ByeBye #Modi #ApnaTimeAayegaJabModiWapasJayega https://t.co/kNN52iZbgN',"Mumbai, India",76711604,MaheshPatilINC,27
2019-04-07 11:30:19,"b'For Years, they scammed the entire nation. Enough is Enough!\xc2\xa0\nThis is your chance to show them the power of youth\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#instamodi\xc2\xa0#namo\xc2\xa0#namoagain\xc2\xa0#modi\xc2\xa0#progress\xc2\xa0#indiatrustsmodi#india\xc2\xa0#digitalindia\xc2\xa0#narendramodi\xc2\xa0#rahulgandhi#rahulgandhimemes https://t.co/xN94WZAVko'",India,1110412901926363137,TheRightIN,0
2019-04-07 11:30:01,"b""Bet you didn't know this! \xf0\x9f\x98\x8e\n\nWatch the episodes of #Modi on #ErosNow - https://t.co/TgGxl8UvfZ \n\n#ErosNowOriginal | #JourneyOfACommonMan | #DidYouKnow | #Facts | #Trivia https://t.co/UW3DDrzbIE""",India,477875139,ErosNow,6
2019-04-07 11:24:56,b'Stop spending tax payers money on political party campaigns \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f#IsBaarPhirModi #ModiSpeaksToBharat #ModiMatBanao #ModiOnABP #ModiMadeDisaster #ModiHainTohMumkinHain #Modi #ModiFor2019 #ModiOnceMore #Congress #CongressMuktBharat #LokSabhaElections2019',"Mumbai, Maharashtra",2328874172,HarshEffect,0
2019-04-07 11:23:32,b'#IsBaarPhirModi #WorldHealthDay \n#AbHogaNyay #MainBhiChowkidar #BJP #INC #PhirEkBaarModiSarkar\n#Congress #IPL2019 #SRHvMI #Elections2019 #Elections\n#LokSabhaElections2019 \n#SundayThoughts #Modi\n#NarendraModi #RahulGandhi\n\n\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9d\x8c\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\n\nWhich is a better slogan?',"City of Joy, Kolkata",4092164532,Bae_Sharma,0
2019-04-07 11:15:55,b'Where is #KapilSibbal ? in #UK  ? Why ?   #CrookedRahulGandhi  #Modi',NewDelhi India,99482974,heritageimpex,0
2019-04-07 11:00:52,"b'Share it , this fire \xf0\x9f\x94\xa5 must spread all over  \n@RajThackeray rips apart #Modi Government\xe2\x80\x99s five years.. \xf0\x9f\x92\xa5after listening to him no sensible human being will vote for #BJP \n\nRaj Thackeray Gudi Padwa speech 2019 | \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c \xe0\xa4\xa0\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xa2\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xa1\xe0\xa4\xb5\xe0\xa4\xbe \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb7\xe0\xa4\xa3 \xe0\xa5\xa8\xe0\xa5\xa6\xe0\xa5\xa7\xe0\xa5\xaf https://t.co/wkFzJotTtE via @YouTube'",mumbai,322170475,Chemburstudio,0
