time,text,location,userid,screenname,retweetcount
2019-05-11 08:41:59,b'Is #Punjab voting for #NOTA?  #BJP #Congress #AAP #SAD? #Elections2019 #CSKVsMI #IPL2019Final . Kindly vote and retweet please',"Panaji, Goa",297962045,vikantsahay,0
2019-05-11 01:57:40,b'@arunjaitley Disgrace that #bjp brings up these issues to disturb &amp; distract voters....\n#LokSabhaElections2019',"Goa, India",713692797895880704,CoutinhoMaclean,0
2019-05-10 18:18:28,b'@VVSLaxman281 @GautamGambhir This is your friend turning violent due to joining #BJP',"Goa, India",713692797895880704,CoutinhoMaclean,0
2019-05-10 17:20:37,b'@Tejasvi_Surya is the next gen shithead from the #BJP. Appalling to see such crap mentality thriving in a place like #Bengaluru.',"Goa, India",904934230035021824,arvn_vaz,0
2019-05-10 15:59:33,"b""So called Big libertards hailing an article written by a British-Pakistani journalist abt an Indian PM by saying 'when u can't by a press overseas' , to @TIME and all those retards, how baseless and unethical are you?? #TimeMagazine @Tejasvi_Surya @RichaChadha #BJP""",Gokak,482785744,rajatkalal,0
2019-05-10 05:58:17,"b'There is no #wine if #grapes are not #pressed\nno #perfume if #flowers are not #crushed\nIf we feel any #pressure in #life, it means #God is #bringing the best out of us\n\n#Strong #women like @AtishiAAP will change the #world.\n\n#IStandWithAtishi #IPL2019 #NewDelhi #NEWS #AAP #BJP https://t.co/ain6ly2dG5'","Dharwad, India",100434452,sharif010,0
2019-05-10 03:29:33,"b""Modi's 'Love' dictionary #LoveDictionary #ModiKaFakeGDP #ModiLove #Love #IndianPolitics #RahulGandhi #LovePotion #BJP #Fasciscism #Beef #Rafale #Congress #India #Goa #Portugal #Colonialism #castesystem #IndianElections #jobs #employment @IndianExpress @cnni @CatchNews @thewire_in https://t.co/Jr7EH0v2Bz""","Goa, India",68674717,Ferraodesigns,1
2019-05-10 03:17:57,b'@Moaaz_Nisar @mythr89 @VijayAhuja6 @shahfaesal @GautamGambhir @ArvindKejriwal @ReallySwara @kunalkamra88 Standing with BJP makes you against the nation? What kind of stupid logic is that. We know the modi is the hope of the country band Congress will doom the country.\n#VoteforModi\n#BJP',"Goa, India",957849637821526016,stereotypeGoan,0
2019-05-10 02:24:26,b'Another kejriwal in making \nMr. Flop actor you must tell ur so called victim of aapiya party to accept challenge by @GautamGambhir to prove the charges and if dey dont you should join @AamAadmiParty u will be best suitable partner to @ArvindKejriwal \n#IStandWithGambhir #BJP https://t.co/u6PkYSY8n7',"Panaji, India",3900052333,KandolkarPramod,4
2019-05-09 10:45:33,"b""I wouldn't have been amazed if this was from someone else from #BJP But surely not #expected from #gautamgambhir\n\n@GautamGambhir lost my (and i'm sure many's) #years of #respect with this one #move. I feel #ashamed that i respected this #guy ever\n#IStandWithAtishi #IPL2019 #AAP https://t.co/X2Eq2OYzvV""","Dharwad, India",100434452,sharif010,0
2019-05-09 10:02:01,b'Disgusting. Condem \nLanguage used against  @atishi \nYou have lost your name in #modi game @GautamGambhir @BJP4India  #bjp this is not the ground to win elections anyway.. https://t.co/OlC04tyH8q',"Goa, India",713692797895880704,CoutinhoMaclean,2
2019-05-09 08:03:07,"b'GSM alleges Sidharth\xe2\x80\x99s appointment as Chairman of Smart City illegal, claims Panaji BJP president Deepak Mhapsekar presently working as non teaching staff at Porvorim has acquired property worth crores, demands inquiry against Deepak &amp; Sidharth\n#GSM #BJP #Panaji #Politics https://t.co/gY0aUbLhYt'","Panaji, Goa",381489503,prudentgoa,7
2019-05-09 04:29:40,b'@Swamy39 Aha...\nWhat about #AmitShah and #BJP  using the #Goa #Airport which is a #Defence #Airport as thier political platform for thier meeting in 2018 ? \nhundreds of travellers made to miss thier flights and traffic jams ensnarled d place ????\nDo u have an answer?',"Goa, India",611747724,blades1979,0
2019-05-08 21:18:48,"b""https://t.co/76lZ0F7AK4\n.\n.\nIt's high time India learns about this and follows suit.#RahulGandhi #Modi #Congress #Bjp Do something about the Garbage menance in Goa and India as a whole. If tasks like these aren't implemented, we need to go the Gandhigiri way #JaiHind #JaiBharat""","Goa, India",1422495535,Fabfranchelle,0
2019-05-08 15:40:49,b'Who will win the polls in India? #Congress #BJP #Trinamool #SamajwadiParty #BahujanSamajParty #BSP #shivsena #Goa #Goenkarponn #Elections2019 #OpinionPoll #Revolution',Goa,551298827,GoaForGiving,1
2019-05-08 14:51:30,"b'In the past 5 years, BJP has made me realise that there are millions like him in my country. In an internet economy, this is a telling image that represents India of the 21st century.""\n\n#bjpbhakt #bjp'",Panjim Goa India ,747800332684623873,EmpoweringGoa,2
