time,text,location,userid,screenname,retweetcount
2019-05-11 08:41:59,b'Is #Punjab voting for #NOTA?  #BJP #Congress #AAP #SAD? #Elections2019 #CSKVsMI #IPL2019Final . Kindly vote and retweet please',"Panaji, Goa",297962045,vikantsahay,0
2019-05-11 05:56:38,"b""Not only fake Gandhis @RahulGandhi or @priyankagandhi nor only corrupt @irobertvadra but entire #Congress wl surely pay a price for #SamPitroda 's  remark #HuaToHua \xf0\x9f\x91\x8e\xf0\x9f\x98\xa1 #CongMuktMaharashtra #CongressNeverAgain \n\n@mssirsa @shaziailmi @capt_amarinder""","Goa, India",214979448,Anshul991,0
2019-05-11 05:31:57,"b'Indian Air Force receives its first Apache Guardian attack helicopter at its production facility in Arizona, in the US. India has signed a contract with the US, for 22 of these choppers. @narendramodi @Swamy39 #ISupportPriyankaSharma #SamPitroda #Congress #DeshKeDilMeiModi https://t.co/oZXgpfwY9Y'","Dharwad, India",4111267813,pavan_renake,1
2019-05-10 08:22:34,b'And the world takes notice. Nothing more to explain. #ModiLies #Congress #TimeMagazine https://t.co/2kV3LYiysV',"Hubli, India",95851836,smadiman,1
2019-05-10 03:29:33,"b""Modi's 'Love' dictionary #LoveDictionary #ModiKaFakeGDP #ModiLove #Love #IndianPolitics #RahulGandhi #LovePotion #BJP #Fasciscism #Beef #Rafale #Congress #India #Goa #Portugal #Colonialism #castesystem #IndianElections #jobs #employment @IndianExpress @cnni @CatchNews @thewire_in https://t.co/Jr7EH0v2Bz""","Goa, India",68674717,Ferraodesigns,1
2019-05-09 04:06:10,b'The Clean Chit Company..#SupremeCourt #CJIRanjanGogoi #CJIgogoi #CleanChit #bjpbteam #IndiaElections2019 #NarendraModi #RSS #Hindutva #Godra #Babri #HSS #TulsiGabbard #ForeignFunding #Rafale #GujaratBasin #Corruption #RahulGandhi #Congress #Fascism #India #Goa https://t.co/0nnjU4TY8Q',"Goa, India",68674717,Ferraodesigns,0
2019-05-09 03:11:30,b'#Congress  has always worked for development of Rural INDIA. lots of #DoctorSunaina  can be empowered to reach their dreams through #NYAY @ndtv . #2019Elections #VoteForCongress #VoteNyayVoteCongress',"Gadag , Karnataka ",1397397457,ShrayesRM,0
2019-05-08 21:18:48,"b""https://t.co/76lZ0F7AK4\n.\n.\nIt's high time India learns about this and follows suit.#RahulGandhi #Modi #Congress #Bjp Do something about the Garbage menance in Goa and India as a whole. If tasks like these aren't implemented, we need to go the Gandhigiri way #JaiHind #JaiBharat""","Goa, India",1422495535,Fabfranchelle,0
2019-05-08 19:18:59,"b'#Congress party in Goa is ok &amp; agreeing in giving Jobs to non Goans &amp; without Goan Domicile certificate criteria at Goa University, FYI !!'",GOA INDIA,354824233,alison_morenas,0
2019-05-08 15:40:49,b'Who will win the polls in India? #Congress #BJP #Trinamool #SamajwadiParty #BahujanSamajParty #BSP #shivsena #Goa #Goenkarponn #Elections2019 #OpinionPoll #Revolution',Goa,551298827,GoaForGiving,1
2019-05-08 15:21:47,"b'@ShashiTharoor #English ""Today evening"" ??? not expected from you. It should have been ""This evening"" . I am sure its a typo or #autocorrect by #twitter . #grammar #Congress #RahulGandhi'","Panaji, Goa",297962045,vikantsahay,2
2019-05-08 09:00:47,b'@AnjaliKoundinya @ani_digital @ANI Bluddy #Congress \xf0\x9f\x98\xa0\xf0\x9f\x98\xa0',"Mysore, India. ",2188421065,ShreyasMysuru,0
2019-05-07 13:42:58,b'Wishing our honourable Leader Of Opposition Goa Assembly @CKavalekar a very Happy Birthday and May Almighty God Bless him in his future endeavors. \n\n#Congress #goa #birthday \n\n@INCGoa @INCIndia https://t.co/V73RQZkb39',"Goa, India",3123593654,IYCGoa,13
2019-05-07 02:11:23,b'@RahulGandhi #bofors #motherfather Mr.gandhi you are saying that PM said your father #RajivGandhi  is corrupt then what is wrong is that??whole world knows that he nd other few members from #congress stolen lot of Bigg amount of money.#RajivGandhiChorHai #congresschorhai  now ans',India,1081393331782012934,Sarang56964870,0
2019-05-06 08:38:32,"b'We approve the same @BDUTT, #Congress\n= #Corruption #CorruptionCongress https://t.co/mgRYGDJJed'","Karwar, Karnataka",1721513893,sahityashikre,0
2019-05-05 16:35:31,"b'For long.We are realising it only now when the ""fringe""  thinks it is mainstream.Only solace is that this fringe is panicking #LokSabhaElections2019 #Congress #BJP https://t.co/ZMowJ1IQ76'",Goa,336100079,SujayGupta0832,0
2019-05-04 07:47:29,"b""RG, CAG &amp; SC has already given the clean chit. You don't believe the institution reports, you don't believe #SupremeCourt judgements and Yet #Congress blames #NDA Govt. saying institutions and #Democracy is in Danger.. @RahulGandhi I urge to see the reports once again #StopLies https://t.co/ys8p9KiwRd""","Karwar, Karnataka",1721513893,sahityashikre,0
