time,text,location,userid,screenname,retweetcount
2019-05-08 07:22:48,b'A #Bike has changed her life.!!\n#SadhviPragya campaigning on a #RoyalEnfield \n\n@royalenfield @SadhviPragya_MP \n#MadhyaPradesh #Bhopal #LokSabhaElections2019 #BJP https://t.co/7R9Wk1wiP2',"Bhopal, India",327253387,anilscribe,1
2019-05-07 17:16:57,b'@KunalChoudhary_ @priyankagandhi She recited poem now she will cry after 23rd May...when #Bjp will win once again',Bhopal,3347895433,yashpandey29,0
2019-05-07 17:06:08,b'@nishantchat I think she forgot...ke iske bad unka Kya hoga\xf0\x9f\x98\x82\n#AayegaToModiHi #ParshuramJayanti #AkshayaTritiya #MamtaBanerjee #TMC #BJP',Bhopal,3347895433,yashpandey29,0
2019-05-07 11:06:02,b'Digiana on the ground with @manojsinhabjp \n#Indianelections2019 #IND24 #digianagroup #digianamediagroup #BJP #Bhartiyajantaparty #Loksabha #loksabhamember #delhi #vote #elections https://t.co/Xs5urTlUhq',"Bhopal, India",728486659424169984,Ind24Mpcg,1
2019-05-07 06:50:37,"b""#SadhuVsSadhvi in #Bhopal. Sadhus perform hawan for the victory of #Congress candidate @digvijaya_28 against #BJP\n's @SadhviPragya_MP.\n#MadhyaPradesh #LokSabhaElections2019 https://t.co/dwai5TvO5n""","Bhopal, India",327253387,anilscribe,0
2019-05-07 05:03:07,"b""Delhi mandarins are fixated on #BJP's probable losses in UP and how much they will be able to offset in Odisha &amp; Bengal.\n\nI believe they are missing MP, CG &amp; Raj where it won 62 out of 65 in 2014.\n\nThey are set to lose at least half of the seats here in #LokSabhaElections2019 https://t.co/ky6oiY4kJQ""","Bhopal, India",61525032,tohidivity,1
2019-05-06 16:41:55,"b'@FZ1610 @Helios29 @timesofindia @MevaniJignesh @narendramodi May be u r very worried about ur chamcha salary in ur bank acc.\nWhy u guys r so afraid of BJP ideology.\xf0\x9f\xa7\x90\nA person who is not even capable of expressing their thoughts  \xf0\x9f\x92\xad in words, and u guys want him to be \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 PM, just to defeat Modi.\n\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd#BJP #Narendermodi'","Bhopal, India",772220420,Dramit356,0
2019-05-06 13:15:54,b'@narendramodi Thank you Mr. Modi. Love what you doing for the nation. Will work hard and dedicate all the hard work for the welfare of the Nation. Thank you. #BJP #CBSEResults2019 #youngyouth',"Jabalpur, India",1113735055942332417,Nishitadubey,0
2019-05-06 10:00:50,b'The type of language #BJP is using in their political promotion..\nShame #Elections2019 https://t.co/ENj1hK42Gk',"Bhopal, India",3267330043,nanaksingh22,0
2019-05-06 06:31:56,"b""Joke in #Bhopal: The way he is being treated in #BJP, #Shivraj is preparing to join @yadavtejashwi's #RJD https://t.co/tK7ZvmEVyL""","Bhopal, India",61525032,tohidivity,0
2019-05-06 06:17:59,b'Voting Done\nVoted For the #NewIndia and #DEVELOPING India.\nProud voter of @narendramodi\nWant #DynastMuktBharat \n#2019LokSabhaPolls #Phase5 #HarBoothParModi #ModiOnceMore #AayegaToModiHi #BJP4India #BJP \n@AmitShah @DynastyMukt @Shehzad_Ind #HarGharModiKeSaath\n#RajivGandhiChorHai https://t.co/QkcZEYwTha',"New Delhi, India",803250043620769792,shreyashbaba,6
2019-05-06 05:58:06,"b'#VijaySankalp2019 #\xe0\xa4\xb2\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\xaf_\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe_\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80_\xe0\xa4\xa6\xe0\xa5\x8b\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe\n#ModiHaiToMumkinHai  \nVote for #BJP, @narendramodi @SuhasBhagatBJP @BJP4India https://t.co/eY4A20372h'","Shahdol, India",811926530251227138,SLohaniBJP,0
2019-05-06 03:19:08,"b""After long time today i traveled in general coach , people's are facing very problems, like huges Rush and  women travelers also faced more problems, railway should add some more general coaches. #NarendraModi @PiyushGoyalOffc @digital_gurukul @narendramodi @PiyushGoyal #BJP https://t.co/YvEgZKSLwm""","Bhopal, India",1027407897687248897,atulpaliwal341,0
2019-05-05 07:32:00,b'West Bengal will be BJPs biggest victory. Rather victory of Indians. A state needs growth and better leader #bjp #ModiForever https://t.co/VNowuEnJq9',"Jabalpur, Madhya Pradesh",57724743,MainVivekSharma,0
2019-05-05 02:44:33,b'Instead of abusing Modi they shall work on their weaknesses in achieving public trust. #KejriwalKiKutai #BharatKaGarvModi #bjp @narendramodi @ArvindKejriwal https://t.co/3ky4n6HU2Q',"Bhopal, madhya pradesh, India",3318065875,shubhambhador13,0
2019-05-04 07:29:34,b'@jarariya91 MC sher to suna hoga #gullyboy mein...\nYe hai MC CHOR #congress #bjp #ElectionsWithNews18 #ElectionCommission #ModiOnAajTak #indianpolitics #thief https://t.co/oAswowso38',"Bhopal, India",859245862085697536,yashcorpio,0
2019-05-03 20:13:27,"b""As I was watching this video, I wondered what if #PragyaThakur wins #Bhopal and then goes on to be convicted in the terror case.\n\nI know there's just 1 out of 100 probability of that happening. But still, what if?\n\nHow would the #BJP defend itself then?\n\n#LokSabhaElection2019 https://t.co/UgPYr4NKxw""","Bhopal, India",61525032,tohidivity,1
2019-05-02 11:15:41,"b'@ShrrinG I am from #Sidhi Congress is loosing here ,#Satna Cong has given very weak candidate ,OBC and and a good chunk of UC vote is going with #Bjp.\n#LokSabhaElections2019'","Bhopal, India",783580846359883780,Gyan4nation,0
2019-05-01 18:58:05,"b'#PhirEkbarModiSarkar \nModi ji 2019 _ \nMission 2019 Only Modi ji \nSocial &amp; political activist \n#bjp \n#narendramodi \n*@* @ Sagar, Madhya Pradesh https://t.co/DVCv0TVADL'","Sagar, Madhya Pradesh, India",795196717536804865,akki6009,0
2019-05-01 15:08:02,"b""EC bars #BJP Bhopal candidate #PragyaSinghThakur from campaigning for three days starting 6 am tomorrow over her remark that she is proud of Babri Masjid's demolition was found violative of the Model Code of Conduct. https://t.co/jsNLkphvuS""","Bhopal, India",327253387,anilscribe,0
