time,text,location,userid,screenname,retweetcount
2019-05-08 06:42:12,"b'@RubikaLiyaquat @nsitharaman @abpnewstv As #Congress is claiming that, many surgical strikes happen at the time of #UPA &amp; news papers like #danikbhaskar are saying it happened please ask is it true?'",Bhopal,3347895433,yashpandey29,0
2019-05-07 11:45:52,"b""Ex MP CM Shivraj had been accusing Kamal Nath govt of not waiving farmers' loan during his campaign speeches for #LokSabhaElections2019 \n\nToday, #Congress leaders went to his bungalow &amp; handed him copies of 21 lakh farm loan waiver certificates.\n\nShivraj looked stumped! https://t.co/zdBcgGQMVC""","Bhopal, India",61525032,tohidivity,452
2019-05-07 06:50:37,"b""#SadhuVsSadhvi in #Bhopal. Sadhus perform hawan for the victory of #Congress candidate @digvijaya_28 against #BJP\n's @SadhviPragya_MP.\n#MadhyaPradesh #LokSabhaElections2019 https://t.co/dwai5TvO5n""","Bhopal, India",327253387,anilscribe,0
2019-05-06 03:27:45,b'Think before you vote for #congress because they support terrorism and terrorists . @RahulGandhi . #voteforbjp #namoagain #voteforindia #AayegaToModiHi https://t.co/QaJ4AfiFVs',Bhopal,79985802,Nidhi_iBranch,0
2019-05-05 18:25:50,"b""I don't get what @Mayawati\nReally wants to do,\nHere in #MadhyaPradesh you make allegations on #congress on the other hand you appeals to vote for #Congress in #Amethi\n\n#amethiitwithsmriti #ModiOnceMore @BJP4India\n@narendramodi @AmitShahOffice @smritiirani\nhttps://t.co/Y5p2VwuiJS""",Bhopal,3347895433,yashpandey29,0
2019-05-04 07:46:59,"b""Congress : We also did surgical strikes, bt kept it secret.\n\nIndian Army : Don't u think, u had to inform army atleast.\n#SurgicalStrikes \n#Congress""","Visakhapatnam, India",786091425817559040,thatnavalguy,0
2019-05-04 07:29:34,b'@jarariya91 MC sher to suna hoga #gullyboy mein...\nYe hai MC CHOR #congress #bjp #ElectionsWithNews18 #ElectionCommission #ModiOnAajTak #indianpolitics #thief https://t.co/oAswowso38',"Bhopal, India",859245862085697536,yashcorpio,0
2019-05-03 16:32:44,"b""As published in today's current issue of @IndiaToday\n#LoksabhaElections2019\n#BattleOf2019\n#congress\n#congresscandidate https://t.co/UAUD8D44pk""","Bhopal, India",146501938,PankajC_INC,0
2019-05-02 12:41:01,b'Grateful that there is someone having a hawk\xe2\x80\x99s eye view on the \xe2\x80\x98rulers of India\xe2\x80\x99! Thank you Supreme Court for asking ECI to decide on #Congress\xe2\x80\x99s compliants against @narendramodi &amp; @AmitShah by 6th May. @ECISVEEP #BattleOf2019 #AbHogaNyay #DeshKaMahaTyohar #ElectionCommission',"Madhya Pradesh, India",995969088081027072,ajay_bagadiya,0
2019-05-01 06:49:43,b'Shame on you #congress @OfficeOfKNath \n@RahulGandhi @priyankagandhi \nyou are still taking brive on the name of indian army..in your cureent government Department.',"Bhopal, India",883232779319873536,man_mauji_4,0
2019-04-30 19:20:23,"b""However we all know Ayurveda enjoys state patronage under law. What shall be the #Congress party's stand in conserving this heritage system, in the right scientific way rather than this absolute farcical propagation which even hurts the country's image in scientific community!""","Singrauli, MP, India",158704024,drnitinchaube,1
2019-04-30 12:34:40,b'There is sole difference between #Elections2019 #campaign of #Congress and @BJP4India u can hear #bharat mata ki #jay and #vande matram in every #bjp \xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xb2\xe0\xa5\x80 bt not in #Congress \xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xb2\xe0\xa5\x80...so #VoteKar wisely\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a',"Madhya Pradesh, India",1100419137300582400,BirleNandlal,0
