time,text,location,userid,screenname,retweetcount
2019-05-01 11:54:04,b'@UmarKhalidJNU stand with modi and defeat islamic extremism dont make india a sharia country #LokSabhaElections2019 #BharatBoleNaMoNaMo #BJP',"Pune, India",1083335318131171328,ketande45263041,0
2019-05-01 11:26:12,"b'@maheshperi That\'s politics! \nWhat actually happened was: \n#BJP wasn\'t sure of their #WIN in elections - so they kept on taunting promises! \nsuddenly the winds changed and #BJP won.  \n\nNow the question was ""how to stand true on promises? ""\nAnswer: keep the voters busy! #Demontization #Cow'","Pune, Maharashtra",34960986,happy2deepak,0
2019-05-01 10:01:14,b'Their blood pressure shoots up when they see love for me\n#AmbedkarNagar #Ayodhya #BJP #BP #rally #NarendraModi #NPNEWS24 #npnews24 @narendramodi \n\nhttps://t.co/VlRqlPqpyL https://t.co/gUrmUKv3ZH',"Pune, India",1016560542486441984,npnews24x7,0
2019-05-01 09:50:08,"b'@PriyaVerma__ @ECISVEEP @SpokespersonECI A common man is sent to jail for submitting false details based on a fake degree, but laws of the land do not apply to #Smriti #Irani or to any of the #BJP thugs!! \n\n#ECI has failed in its duty, it has failed the nation!!!'",Pune,2492731915,NachiketaModi,0
2019-05-01 09:25:02,"b""If @RahulGandhi citizenship is the only thing #BJP is left with. They haven't heard good stuff about themselves from the voting already done.   No?""",pune.,17730479,shilpa_pande,0
2019-05-01 06:34:24,"b""My only worry in #Elections2019 is the educated intellects taking wrong side! \xf0\x9f\x98\xa2\n\nI really don't know why people fail to understand -- we have to get #BJP absolute clear majority (on their own) for our country to progress. Period.\n\nAm I missing something? \xf0\x9f\xa4\x94\n\n#ReflectionsBySanjog""","Pune, India",7351382,SanjogJZ,0
2019-05-01 06:33:45,b'Its unfortunate that the EC has let the \xe2\x80\x9cGathbandhan\xe2\x80\x9d make so many terrible attempts to bring down the PM. Shouldn\xe2\x80\x99t there be some decency in the campaigning? The levels that @INCIndia has fallen down to is just shameful. #bjp #DeshBoleModiPhirSe @BJP4India @desimojito @muglikar_',"Mumbai-Pune, India",533020735,TheBudWiser,0
2019-05-01 06:24:36,"b""Didn't want to tweet only, so entered politics to do something: Gambhir\n#BJP #Elections #GautamGambhir #politics #Tweet #NPNEWS24 #npnews24 @GautamGambhir \n\nhttps://t.co/C43EQIC1vm https://t.co/QQ26x60RgC""","Pune, India",1016560542486441984,npnews24x7,0
2019-05-01 05:29:08,b'Gautam Gambhir - I don\xe2\x80\x99t beleive in Debates\n\nSmriti Irani - I don\xe2\x80\x99t believe in Degree\n\nNarendra Modi - I don\xe2\x80\x99t beleive in Press Conferences\n\nPragya Thakur - I don\xe2\x80\x99t beleive in Science \n\nArnab Goswami - I don\xe2\x80\x99t beleive in Unbaised Journalism \n\n#LoksabhaElections2019 #BJP',"Pune, India",726850031630700544,shonekelkar,0
2019-05-01 04:46:37,b'@AmitShahOffice @AmitShah @BJP4Rajasthan @BJP4MP #Bjp shah..',"Dhule, India",1123211471507292176,YogeshP23116129,0
2019-05-01 04:38:50,b'BJP-Sena alliance no-go for PMC poll https://t.co/kPIxuCmANw via @ThePuneMirror #shivsena #bjp #pune',pune,59035998,prachee_mirror,0
2019-05-01 04:23:34,b'how could u meet this woman.If u r planning to meet her please check her and her motorcycle.(Best advice for your future\xf0\x9f\x98\x9c) \n#LokSabhaElections2019 \n#BJP \n#BJP4India \n#Decision2019 \n#SadhviPragyaSinghThakur https://t.co/sPbKnyiztX',Nanded,1076157350002618368,Sanket81996602,0
2019-05-01 03:00:39,"b""@Sanginamby #Congress 's blame of breaking code of conduct by #Modi &amp; #Shah is as frivolous as #RahulCitizenship by #BJP""","Pune, latur ",586389588,omkak55,0
2019-05-01 02:10:30,"b""Where is Election Agenda of BJP?\n#RahulCitizenshipRow issue is childish act by BJP.  @BJP4India won't win elections like this.\n#LokSabhaElections2019 \n#BJP #BJP_\xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x93_\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6_\xe0\xa4\xac\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\x93""",Pune,353104497,Santosh_kolte89,0
2019-04-30 19:25:33,b'Perfect candidate for #BJP. So when are you going to contest chowkidar @narendramodi ?? https://t.co/mrqXsoMdAz',Pune,147218059,dheepakmoses,0
2019-04-30 18:25:34,"b""@dhume #Congress 's blame of breaking code of conduct by #Modi &amp; #Shah is as frivolous as #RahulCitizenship by #BJP""","Pune, latur ",586389588,omkak55,0
2019-04-30 18:10:15,b'@KapilSibal @ECISVEEP can you people explain why was their huge number of missing names in the final list of voting . People had their voter ids with them but their names were missing. Was it done to benefit the #BJP .',Kalyan,252951763,taher_king,0
2019-04-30 15:38:43,"b'To coverup &amp; create distraction from real issues &amp; their lies, failures #BJP  now comes up issues like RG\xe2\x80\x99s citizenship.\n\nThey want to keep people distracted from economic growth, farmers distress &amp; unemployment.\n\n#BJP using paid news media &amp; social media as distraction tools. https://t.co/VzwI5cJe4F'","Maharashtra, India",1111910129413296129,navi42937935,0
