time,text,location,userid,screenname,retweetcount
2019-05-08 08:11:41,b'@ShashiTharoor @ImranKhanPTI Chokidar bolay to #BJP trolling force?',Lahore,2713928958,LasaniLogistics,0
2019-05-08 06:49:06,"b'how cheap person this is? everywhere he ask public to vote on pulwama,balakot,azhar mehmood ..... what a shamefull PM ever ... doubts day by clear that he was behind the pulwama attack. #fatehabaad #india #BJP #pakistan #lahore #cheap #congress @ashutosh83B @ArvindKejriwal https://t.co/Hd6D3QOfwq'","Punjab, India",2864724116,iankusharoraa,0
2019-05-08 06:42:08,"b""@Sandeep14111997 @RRazzaqPMLN @UN @UNHumanRights @WSJ @nytimes @SushmaSwaraj @narendramodi @Razarumi @HamidMirPAK @GulBukhari @BBCUrdu In style they are beating does not seem to be a fight between father/son inlaw. It's ta typical style of #BJP Bhakhts/Ghundaas""","Lahore, Pakistan",1049589312663240704,AhmedSh62406580,0
2019-05-08 06:38:27,"b'9/9\nThe CMIE had described the lower unemployment rate in March as just a blip, but it has begun climbing again.\n\n#IndianEconomy #BJP #Modi'","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:26,"b""8/9\nThe most recent unemployment figures released by the influential Centre for Monitoring Indian Economy (CMIE) on May 1 showed that India's jobless rate rose to 7.6 per cent in April, the highest since October 2016, and up from 6.7 per cent in March.\n\n#IndianEconomy #BJP #Modi""","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:26,"b'7/9\nIn fact, the #BJP has squandered much of the goodwill that brought it to power with a massive majority in the last parliamentary elections in 2014. The current general election is becoming a referendum on Mr Modi, who faces sharp criticism for #economicmismanagement.\n#BJP'","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:25,b'6/9\nThe ruling party has carefully avoided engaging in a public debate on the economy or jobs because it is being held accountable for creating these crises.\n\n#IndianEconomy #BJP #Modi',"Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:24,"b'4/9 \nTheir economic future may depend on it. There are 650 million Indians under 25 years of age, and 845 million youth under 35. They comprise the so-called ""demographic dividend"" that has not yet been achieved.\n\n#IndianEconomy #BJP #Modi'","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:24,"b'3/9\nThey have neither received a proper answer to their grievances nor an assurance that help is on the way.Young Indians, in particular, are anxiously awaiting the election results due to be announced on May 23. \n\n#IndianEconomy #BJP #Modi'","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
2019-05-08 06:38:24,"b'2/9\nIt is alarming that many of the 175 million young people - more than 27 per cent of them - are excluded from education, training or jobs. They are publicly asking questions about their future in village and town hall meetings. \n\n#IndianEconomy #BJP #Modi'","Lahore, Pakistan",995916091535843333,SaminaKhan369,0
