time,text,location,userid,screenname,retweetcount
2019-05-08 07:24:25,"b""Thanks  to people's of village Baggi Nihal Singh and laleana for love, Respect and Blessings....@RajaBrar_INC\n\n#Vote #Support #Elect #Congress #Mission2019\n\n#PunjabWantCongress\n#BathindaWantCongress\n#BathindaWithRajaWarring https://t.co/gEYVtgUmyP""","Bathinda, Punjab",1095137897001320448,SevadalBTH,4
2019-05-08 06:49:06,"b'how cheap person this is? everywhere he ask public to vote on pulwama,balakot,azhar mehmood ..... what a shamefull PM ever ... doubts day by clear that he was behind the pulwama attack. #fatehabaad #india #BJP #pakistan #lahore #cheap #congress @ashutosh83B @ArvindKejriwal https://t.co/Hd6D3QOfwq'","Punjab, India",2864724116,iankusharoraa,0
2019-05-08 03:28:58,"b'@sampitroda May I know from these signatories wherther they dared to speak against any statement of #RahulGandhi  and #Congress leaders when they called PM @narendramodi chor,neech,khun ka dalal,nali ka keeda and latest Duryodhana. @sampitroda \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\x9c\xe0\xa4\x97\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb8\xe0\xa4\xbf\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xa7 \xe0\xa4\xa6\xe0\xa4\xb0\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82\xe0\xa5\xa4@sardanarohit @awasthis'","Dehradun, India",2173312308,DrDBhasin,1
2019-05-07 18:13:43,b'@anuview7 #Congress ne or kisne',Sirsa,1105107214891696130,vijay_warwal,0
2019-05-07 14:42:57,"b'I don\xe2\x80\x99t know what will happen in result day, but I must say that #Congress has fought this election in very dignified way. #Elections2019 https://t.co/gvPz4d9cUd'","Punjab, India",2517743906,deep_filmmaker,0
2019-05-07 12:58:32,b'Watch Big Debate on Politics on Nationalism in #Punjabpoint at 8pm &amp; 11pm #Airtel 564 #Tatasky 1917 #Fastway 69 #polls #Nationalism  #Balakot  #BJP #Congress https://t.co/aDSh4mlgYD',"Chandigarh, India",67022358,gauravwalianews,0
2019-05-07 12:40:58,"b""Acknowledge Your Errors - Don't make the same mistake again! \xf0\x9f\x98\x84 \n\n#KirronKher #PawanBansal #ApnaChandigarh #CleanerChandigarh #chandigarhvotes #ChandigarhAmritsarChandigarh #CongressManifesto #CongressHaiNa #Congress #WithPawanBansal https://t.co/MYG8KWPRqq""","Chandigarh, India",1118115639728594946,NSUI_Chd,0
2019-05-07 10:08:36,"b'Just in ; Rajdeep Kaur , sister of slain gangster turned-politician Jaswinder Singh Rocky, joined @INCIndia in the presence of @capt_amarinder at Fazilka. she was with @Akali_Dal_ . @officeofssbadal is contesting from #Ferozpur constituency against #Congress @SGhubaya https://t.co/efDkLUr2Qf'",Amritsar. Punjab. INDIA,177054316,rsrobin1,0
2019-05-07 05:31:35,b'#Election2019 \n#Congress Campaign in #Chandigarh \n\n#abhoganaya https://t.co/PkigtK4sO5',Panchkula,1033067874,VRainaINC,0
2019-05-06 13:35:12,"b""Who's winning India? \n#IndiaElections2019 \n#BJP #Congress""","Lahore, Pakistan ",887278805764763648,ABSMakhdoom,0
2019-05-06 12:03:24,"b""Watch Big Debate on People's anger against Politicians at Rallies in #Punjabpoint at 8pm &amp; 11pm #Airtel 564 #Tatasky 1917 #Fastway 69 #Elections2019 #polls #Punjab #Congress  #Akalidal #BJP #Aap https://t.co/Hu0KP8Norh""","Chandigarh, India",67022358,gauravwalianews,0
2019-05-06 09:22:07,b'Nowadays Politics is about Showing opposition Down but not raising their standards. politics now is all about Blame Game. #Modi #IndianElections2019 #BJP #Congress',Ludhiana,47281773,kimmysandhu,0
2019-05-06 08:41:19,b'@Anjuzzzzzzzzz #BJP is mch better than #congress...',"Chandigarh, India",2911798573,verma8913,0
2019-05-06 07:30:00,b'Campaigning for @kumari_selja #AmbalawithSelja #NYAYforIndia #nyay #Congress https://t.co/sUJIwLonOQ',"Punjab, India",1118538826597556227,Harneetkbrar,0
2019-05-06 05:17:32,b'Vote for Team India\n@sherryontopp #VotingRound5 #Phase5 #Loksabhaelections2019 #MainHindustanHoon #MondayMotivation #Modi #Congress #BJP https://t.co/53M5yEF5bk',"Mohali, Punjab, India",138404537,gulshan003,0
2019-05-05 19:18:42,b'@iranasodhi #congress win Fzr seat  under the campaning of #Rana_Gurmit_Singh_Sodhi Sports nd Youth affair Minister',ferozepur,736790371137511425,lovedee63296088,0
2019-05-05 14:42:52,"b'#Bhullars\n#Bathinda\n#LoksabhaElections2019\n#SAD\n#Congress\n\nLitigation to save 400 year old heritage, #BhullarBhaichara trying to save it from clutches of #SGPC\nsgpc hell bent on usurping historical shrine at village #Mehraj\n@capt_amarinder\n@sherryontopp\n@MSBADAL\n@JaiveerShergill https://t.co/OKS28kM1Xp'","New Delhi/Punjab, India",4808165166,bhullar303,0
2019-05-05 14:30:29,b'#Haryana #Congress is in safe hands @BhupinderSHooda \n#AbHogaNYAY \n\n#RajivGandhiji #IndiaElects #RahulGandhi https://t.co/rIcTfOJewY',Panchkula,1033067874,VRainaINC,0
2019-05-05 13:06:32,b'Vote for #TeamIndia #WorldCup \n@INCIndia @RahulGandhi @priyankagandhi #Congress #LokSabhaElections2019 https://t.co/SfmczmRGkY',"Mohali, Punjab, India",138404537,gulshan003,0
2019-05-05 13:04:48,b'My day continues with meeting my people in my constituency #GuruHarSahai campaigning for Sher Singh Ghubaya for #LokSabhaElections2019. \nThere is one unanimous voice - We are #Congress and with Congress\n@INCIndia @RahulGandhi @priyankagandhi @sampitroda @capt_amarinder @INCPunjab https://t.co/ZvF1zX1pa4',"Punjab, India",748124562924146688,iranasodhi,10
2019-05-05 12:19:25,b'@TajinderBagga @RahulGandhi This is the reason many left India after 1984 and who knows they also make us victim of something we never do.\nShame on #congress and #Nambardaar.',"Haryana, India",923949488,vinitgrover,0
2019-05-05 09:53:57,b'Door to Door campaign of team Youth Congress and NSUI in Village Palsora for our reformer leader Sh. Pawan Kumar Bansal .\n#AbHogaNYAY\n#ApnaChandigarh\n#congress\n\nManish Bansal Pardeep Chhabra',"Chandigarh, India",831211445899505664,KingStylePro,0
2019-05-05 08:58:09,"b'Go For Vote #Congress (UP), @RahulGandhi @priyankagandhi @LaljiDesaiG @amarjeet094 @RajeshRastogi11 https://t.co/aJpDKyBBOf'",Dehradun,1033414061042491393,SevadalUKP,2
2019-05-05 08:58:01,b'@AnupamPKher @akshaykumar Why is that every patriotic person is with #Modi and all anti national types are with #Congress. #think',"Chandigarh, India",212099171,n_yadavv,0
2019-05-05 08:56:50,b'Go For Vote #Congress (UP). @RahulGandhi @priyankagandhi @LaljiDesaiG @amarjeet094 @RajeshRastogi11 https://t.co/itFz20VdBY',Dehradun,1033414061042491393,SevadalUKP,2
2019-05-05 08:55:24,b'Go Vote For #Congress @RahulGandhi @priyankagandhi @LaljiDesaiG @amarjeet094 https://t.co/tYlK6ckxkI',Dehradun,1033414061042491393,SevadalUKP,2
2019-05-05 08:28:00,b'#ShameOnPMModi\n\nSuch words Donot sound gud from PM..\n\nThis is really Neech soach..\n\nHe only talks abt #Congress nothing abt development..',"Punjab, India",1064110269050306561,lsingh0799,0
