time,text,location,userid,screenname,retweetcount
2019-05-02 06:57:27,b'@poonamdhillon @Soni_Razdan @buntysaab @AahanaKumra @TripathiiPankaj @PlatoonOneFilms @ShiladityaBora @ZEE5India A #BJP supporter and a BJP hater in one frame \xf0\x9f\x91\x8c\xf0\x9f\x98\x87 this is democracy and the beauty of this picture \xf0\x9f\x99\x8f',"Jaipur ,Rajasthan ,India",135102232,deepadoc,0
2019-05-02 06:44:17,b'I\xe2\x80\x99ve uploaded a video on \xe2\x80\x9cElectoral Reforms\xe2\x80\x9d to see full video plz follow URL \xf0\x9f\x91\x87\nhttps://t.co/ZD0Bb8j4Fw\n\n#Election2019 #Congress #bjp @ravishndtv',Jhunjhunu,825795020,RajatCh71194552,1
2019-05-01 18:25:38,b'People greet PM Modi at his rally in #Jaipur by flashing their mobile phone lights. Photo: Himanshu Vyas #LokSabhaElections2019 #BJP https://t.co/n2sNfcHaXt',Jaipur,93138565,urvashidev,1
2019-05-01 14:44:57,b'Lok Sabha Elections 2019:Parties gear up for 5th Phase.\n#Elections2019 #Bjp #Congress #NarendraModi #RahulGandhi #Bsp #5thphase\nhttps://t.co/jvXAWwSzdH https://t.co/9DkHJyeuwu',"Jaipur, India",1115493211735121920,TheNationalTV,0
2019-05-01 13:06:22,b'First India Express | Rajyavardhan Rathore requests public to reach for PM Narendra Modi\xe2\x80\x99s rally\n#FirstIndiaExpress #NarendraModi #RajyavardhanRathore #BJP #DeshBoleModiPhirSe #LokSabhaElections2019 https://t.co/VGeFuHNOse',"Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-05-01 12:48:44,b'Maoists torch dozen vehicles in Gadchiroli; PM Modi condemns act.\n#Elections2019 #Bjp #Congress #NarendraModi #Rahulgandhi\nhttps://t.co/3hvpuJr4oS https://t.co/ClZlF07fpO',"Jaipur, India",1115493211735121920,TheNationalTV,0
2019-05-01 12:10:38,"b'First India Express | Will abolish Article 370 if Mahant Balaknath wins, says Amit Shah\n#FirstIndiaExpress #AmitShah #MahantBalaknath #BJP #LokSabhaElections2019 https://t.co/i9Yf048mmZ'","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-05-01 10:33:08,b'Who will win #Elections2019\n#BJP #CONGRESS',Jaipur ,905362218493009920,AmrapaliBuyers,0
2019-05-01 10:20:16,"b'First India Express | Coalition can never give India a strong government, says Narendra Modi\n#FirstIndiaExpress #AmitShah #BJP #DeshBoleModiPhirSe #LokSabhaElections2019 https://t.co/ZpejI19Z88'","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-05-01 09:57:11,b'First India Express | Amit Shah effected political masterstroke by bringing two Kiroris together to target Gurjar &amp; Meena votebank\n#FirstIndiaExpress #AmitShah #BJP #DeshBoleModiPhirSe #LokSabhaElections2019 https://t.co/eKijlZvEYV',"Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-05-01 06:55:54,b'NOTA is not useless.\n#Notaelection #Voting #India #Bjp #Congress #Rajasthan #Mp #chattisgarh\nhttps://t.co/diE90YC5ES https://t.co/sYAHvK0nRU',"Jaipur, India",1115493211735121920,TheNationalTV,0
2019-04-30 16:46:14,"b'right now our mission is to bring back #Modi in power #NaMo again , so vote for #NDA #HB in nagaur #BharatMataKiJai #BJP'",jaipur,457862181,meTheJaatBoy,1
2019-04-30 12:48:40,"b""First India Express | 'I have only one voter-ID, from Rajendra Nagar. I don't have any other voter-ID.', says Gautam Gambhir, BJP's East Delhi Lok Sabha candidate on AAP party's Atishi allegations of him holding 2 voter-ID cards\n#FirstIndiaExpress #BJP #AAP #LokSabhaElections2019 https://t.co/MeqxTqTKGt""","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-04-30 08:51:46,b'Look unjustice of #BJP.what happen when people go to vote to another party.  What did police. https://t.co/07Vchewwf6',"Jaipur, India",1110254315547942914,MohdShoaibShah2,0
2019-04-30 07:19:39,"b'First India Express | 40 TMC MLAs will desert Didi\xe2\x80\x99s party on May 23, says Narendra Modi\n#FirstIndiaExpress #NarendraModi #BJP #JeetegaToModiHi #LokSabhaElections2019 https://t.co/yzCUtkbKEE'","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-04-30 07:16:01,"b'First India Express | After 68% turnout, a confident Amit Shah to address Dausa, Alwar &amp; Bharatpur\n#FirstIndiaExpress #AmitShah #BJP #JeetegaToModiHi #LokSabhaElections2019 https://t.co/bSPe30rFLh'","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-04-30 06:54:23,b'First India Express | A Referendum on Narendra Modi sentiment v/s ground reality\n#FirstIndiaExpress #NarendraModi #Congress #HogiCongressKiJeet #BJP #jeetegaToModiHi #LokSabhaElections2019 https://t.co/xxxfx25Cot',"Jaipur, India",1113747196099399680,1stindiaexpress,1
