time,text,location,userid,screenname,retweetcount
2019-05-02 06:44:17,b'I\xe2\x80\x99ve uploaded a video on \xe2\x80\x9cElectoral Reforms\xe2\x80\x9d to see full video plz follow URL \xf0\x9f\x91\x87\nhttps://t.co/ZD0Bb8j4Fw\n\n#Election2019 #Congress #bjp @ravishndtv',Jhunjhunu,825795020,RajatCh71194552,1
2019-05-01 17:58:57,"b'PM Modi in #Jaipur \xe2\x80\x9cI have seen Rajasthan\xe2\x80\x99s mood... Congress\xe2\x80\x99s survival is difficult.\xe2\x80\x9d Taking a dig at chief minister Ashok Gehlot, Modi\xc2\xa0said \xe2\x80\x9cThose who won\xe2\x80\x99t be able to save their son, what will they save the #Congress.\xe2\x80\x9d #Rajasthan #LokSabhaElections2019'",Jaipur,93138565,urvashidev,0
2019-05-01 16:34:35,b'Ye hi hkkit h es Congress ki....ye Congress Indian political party nhi ek terrorist group h...world terrorist group #Congress #BoloGuruji\n#Chowkidar #JaayegaTohModiHi\n#AbKiBaarModiSarkar #NarendraModiJindabad\n#RahulGandhi #MainBhiKaamdar\n#Rajasthan\nhttps://t.co/H1Fx5VWJbr',"Sikar, India",3223902055,ArvindS85497007,0
2019-05-01 14:44:57,b'Lok Sabha Elections 2019:Parties gear up for 5th Phase.\n#Elections2019 #Bjp #Congress #NarendraModi #RahulGandhi #Bsp #5thphase\nhttps://t.co/jvXAWwSzdH https://t.co/9DkHJyeuwu',"Jaipur, India",1115493211735121920,TheNationalTV,0
2019-05-01 14:04:38,b'Meanwhile  #congress \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #MasoodAzhar @DrRizwanAhmed1 https://t.co/B9xgvcdcMT',"Jodhpur, India",1062178226649358336,mayankmkp1,1
2019-05-01 13:35:14,b'#LokSabhaElections2019 #India people please Vote #Congress.India is very lucky to HV.#Congress.#Jaihind.(543).#Congress.311+ https://t.co/A1uj38Th4n',Ajmer,1019453399648043008,FaizabbasiA,1
2019-05-01 13:26:42,b'@ANINewsUP This  is the  real politics......!! #bsp_sp_rld #MahaGathbandhan #Congress #PriyankaGandhiInAmethi',Jaipur Rajasthan India,96585888,dilllu,0
2019-05-01 12:48:44,b'Maoists torch dozen vehicles in Gadchiroli; PM Modi condemns act.\n#Elections2019 #Bjp #Congress #NarendraModi #Rahulgandhi\nhttps://t.co/3hvpuJr4oS https://t.co/ClZlF07fpO',"Jaipur, India",1115493211735121920,TheNationalTV,0
2019-05-01 12:46:25,"b'A well planned drama in Varanasi by #SP, #BSP and #Congress. First incomplete nomination. If you had document then not on time.\nPeople are well educated and intelligent. #TejBahadurYadav You are really a goon of Worst politician.'",Jaipur,368987601,RaviKParashar,0
2019-05-01 11:53:36,"b""First India Express | Controversy over Rahul Gandhi's citizenship is rubbish, says Priyanka Gandhi\n#FirstIndiaExpress #PriyankaGandhi #RahulGadhi #Congress #HogiCongressKiJeet #LokSabhaElections2019 https://t.co/X0f4wpTryy""","Jaipur, India",1113747196099399680,1stindiaexpress,0
2019-05-01 10:33:08,b'Who will win #Elections2019\n#BJP #CONGRESS',Jaipur ,905362218493009920,AmrapaliBuyers,0
2019-05-01 10:06:36,b'Families of Martyrs of #GadchiroliNaxalAttack #Gadchiroli should ask @RahulGandhi is this the kind of #Nyay @INCIndia is propagating? Because this is second such major brutality since #CONgress came in to power in #Chhattisgarh.',"Jaipur, India",118020448,YogiVinayak,0
2019-05-01 09:40:12,b'Congratulations @RahulGandhi and his pidi supporters. Naxalites have rejuvenated themselves since #CONgress government came in power in #Chhattisgarh.',"Jaipur, India",118020448,YogiVinayak,0
2019-05-01 06:55:54,b'NOTA is not useless.\n#Notaelection #Voting #India #Bjp #Congress #Rajasthan #Mp #chattisgarh\nhttps://t.co/diE90YC5ES https://t.co/sYAHvK0nRU',"Jaipur, India",1115493211735121920,TheNationalTV,0
