time,text,location,userid,screenname,retweetcount
2019-04-22 08:00:13,"b'#LokSabhaElections: Former #BJP MP from #Hamirpur, Suresh Chandel joins the #Congress in presence of #AICC chief @RahulGandhi in #Delhi. https://t.co/wDyzOe4ngH'",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 07:58:48,"b'Addressing a media conference, #AmitShah said the allegations against #SadhviPragya are false and the real culprits in the #Malegaon blast case have evaded the law.\n\n#BJP #PragyaSinghThakur #LokSabhaElections2019 #thefederalnews\n\nhttps://t.co/98JdY0KyWs'","Chennai, India",1097443100849430529,TheFederal_IN,0
2019-04-22 07:35:25,"b""#LokSabhaElections: #BJP candidate from Rampur, Jaya Prada reacts on Azam Khan's son Abdullah's remarks, says she didn't expect such remark from Abdullah as he's an educated man. https://t.co/aj89wkfxhE""",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 07:24:58,"b'#BIGNEWS: #BJP candidate from North-East #Delhi, Manoj Tiwari holds a roadshow in Delhi. https://t.co/TZgRtZ8uTE'",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 07:07:32,"b""Lok Sabha polls: Congress list https://t.co/9N2v3FL9Nb via @timesofindia\nAll are veteran Congress leaders rejected by #Delhi in the last election. They don't stand a chance against #AAP. People of #Delhi will set the future trend for #India by packing off both #Congress &amp; #BJP""","Coimbatore, India",892418112053682177,Sjayaraj1999,0
2019-04-22 07:02:04,"b'The day India will be free from #Congress, it will become poverty-free: Rajnath Singh in Bikaner. @INCIndia @BJP4India \n\n#BJP #LokSabhaElections2019 #thefederalnews'","Chennai, India",1097443100849430529,TheFederal_IN,1
2019-04-22 05:57:50,"b'In an interview to #AajTak, #BJP candidate from #Bhopal said that she is proud of demolishing the #BabriMasjid structure.\n#LokSabhaElections2019 \n#GoBackFeku\n#SayNoToFascism\n#NoMoreModi\n#NoMoreBJP\n#AbHogaNYAY\nNews Updates:\nhttps://t.co/kTfLUk3jPl'","Kochi, India",224686442,mufeedrahmankm,0
2019-04-22 05:50:22,b'It\xe2\x80\x99s Advantage BJP In A Befuddling Battle In Bengal\xe2\x80\x99s Balurghat \n\n#BJP\n#ModiOnceMore\n\nhttps://t.co/PNsNWCuvCP',"Bengaluru, India",3224312383,MahaveerVJ,0
2019-04-22 05:49:41,"b'Akka, I admired u a lot n really wanted #BJP to consider u for #BangaloreSouth constituency\n\nBut, under strange circumstances you were denied. But even after that you continued to work for the party and campaigned hard for @Tejasvi_Surya \n\nThat speaks a lot about you. \nTake a bow https://t.co/F1O3qzXoNV'","Bengaluru, India",262766285,vickky48,0
2019-04-22 05:17:52,"b""Please don't use #OYOrooms for hotel booking..\nthese are very irresponsible people. \n#ZeeNewsGold, #PMOI , #bangaloresouth #RADIO_M4 , #riteshAgrawaal, #oyorooms, #aajtak, #news24, #CNN , #BJP ,#consumerAffair, #jagograhakjago""",Bangalore,840834570,raj44436,0
