time,text,location,userid,screenname,retweetcount
2019-04-22 08:12:06,b'@RahulGandhi by admitting to the Supreme Court that he lied is a self goal for the #congress. The party president brought disrepute @INCIndia\nThe good old proverb in Sanskrit VinAshkAle Vipreet Budhi is proven true yet again.\nWell done @M_Lekhi\n#RahulGandhiJhuthaHai',Bangalore,87386276,vsayachit,0
2019-04-22 08:00:13,"b'#LokSabhaElections: Former #BJP MP from #Hamirpur, Suresh Chandel joins the #Congress in presence of #AICC chief @RahulGandhi in #Delhi. https://t.co/wDyzOe4ngH'",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 07:56:10,"b""#LokSabhaElections: #Congress President @RahulGandhi while addressing an election rally in Amethi hits out at PM @NarendraModi, says in the past 5 years whatever the Congress has done for you has been snatched away by 'chowkidar' (Narendra Modi). https://t.co/WEHT011xEo""",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 07:50:16,"b'@KapilSibal 1. Violent... in self defence against #antinational forces, within and outside India.\n2. Intolerant....to corrupt practices, institutionalized by the #Congress and the tax evaders, patronized by them\n3. Divisive... to separate and throw out the illegal immigrants.\n#ModiOnceMore'","Bengaluru, India",894151829470105600,KaulSubhash,0
2019-04-22 07:49:41,"b'@KarunaGopal1 1. Violent... in self defence against #antinational forces, within and outside India.\n2. Intolerant....to corrupt practices, institutionalized by the #Congress and the tax evaders, patronized by them\n3. Divisive... to separate and throw out the illegal immigrants.\n#ModiOnceMore'","Bengaluru, India",894151829470105600,KaulSubhash,0
2019-04-22 07:19:34,b'Will #PriyankaGandhi Contest Against #NarendraModi in #Election2019?\n#Congress #Varanasi \n\nhttps://t.co/I5uavjkm3r',"Coimbatore, Tamil Nadu",3402055099,stage3newsin,0
2019-04-22 07:19:05,"b'On Saturday 20th April 2019, Priyanka Gandhi Addressed a Rally in Malappuram, #Kerala.\n#LokSabhaElections2019 #Congress\n\nPhotos by Team101 https://t.co/Ar9gzmMo2u'","Bengaluru, India",4647741620,101reporters,0
2019-04-22 07:07:32,"b""Lok Sabha polls: Congress list https://t.co/9N2v3FL9Nb via @timesofindia\nAll are veteran Congress leaders rejected by #Delhi in the last election. They don't stand a chance against #AAP. People of #Delhi will set the future trend for #India by packing off both #Congress &amp; #BJP""","Coimbatore, India",892418112053682177,Sjayaraj1999,0
2019-04-22 07:02:04,"b'The day India will be free from #Congress, it will become poverty-free: Rajnath Singh in Bikaner. @INCIndia @BJP4India \n\n#BJP #LokSabhaElections2019 #thefederalnews'","Chennai, India",1097443100849430529,TheFederal_IN,1
2019-04-22 06:56:28,b'@PoojaJa25571120 @2013 @narendramodi @_ManmohanSingh @INCIndia His government was in power around 20 years in Gujarat right but still there we can find child labour\xe2\x80\x99s but I bet you dear friend you couldn\xe2\x80\x99t find one single child in Kerala.We give so much importance to child development even it\xe2\x80\x99s #congress or #cpm',"Cochin,Kerala",176342166,Imbhooshan,0
2019-04-22 06:34:14,b'@RahulGandhi expresses regret over his #ChowkidarChorHai  jibe.\n\n#Chowkidar #Congress #RahulGandhi #thefederalnews',"Chennai, India",1097443100849430529,TheFederal_IN,1
2019-04-22 05:43:20,b'#Congress releases another list of six candidates for #LokSabhaElections2019. Former Delhi CM #SheilaDikshit to contest from North East Delhi. #PollsWithFX16 #ElectionsWithFX16  https://t.co/I2RDkwhFmo',"Tamil Nadu, India",800021034736881664,fx16news,0
2019-04-22 05:40:48,"b""Today some voters are gone from voter's list, tomorrow they will be removed and thrown out from state..Need change in this process..  #MissingVoters #2019Elections #Karnataka #congress #jds @PMOIndia @mepratap""",Namma Bengaluru,31645910,rghtviewsfrmhrt,1
2019-04-22 05:22:16,b'#Congress releases list of candidates for 6 Parliamentary constituencies in #Delhi. \n\nFormer Delhi CM @SheilaDikshit to contest from North East Delhi. https://t.co/Ij6PojSfRU',Chennai,332167024,TweetsOfSunil,0
2019-04-22 05:21:20,b'#BIGNEWS: #Congress releases list of candidates for 6 Parliamentary constituencies in #Delhi. Former Delhi CM @SheilaDikshit to contest from North East Delhi. https://t.co/xZhu22Wogm',BENGALURU,633485882,NEWS9TWEETS,0
2019-04-22 05:14:22,b'In #coimbatore The Man Robbery Rs.500 From Conductor Is Arrested \xf0\x9f\x98\x82\nIn #India Who Robbery More Then Crores Are Enjoying The Life \xf0\x9f\x98\x82\n\nTHIS IS OUR INDIAN GOVT &amp; INDIAN LAW \xf0\x9f\x98\x82\n\nWho accepted ???\n\n#BJP #Congress #police #Court https://t.co/qTCkDgl8Te',"Coimbatore, India",1013301886017888256,Prakash24_7,0
2019-04-22 04:36:49,"b'#Congress will lose the trust, credibility &amp; accountability in #LokSabhaElections2019 due to negative &amp; senseless leadership under #RahulGandhi'","Bengaluru, India",1111892474853756928,AnalystPositive,0
2019-04-22 04:12:13,"b'#Congress should say sorry for country people and payback all scam money, disqualify as party. https://t.co/KjZzeFGoPM'",Bangalore,97373852,surappa,0
2019-04-22 04:07:36,"b""I remember the #Congress era when #terrorism had been normalised. There were so many bomb blasts and attacks. By contrast NDA has a done a great job of keeping the #IslamicTerrorists at bay. Don't want a #Srilanka  to happen in #India again. #VoteForModi""",Bangalore,35863380,FlyingSpook,0
2019-04-22 04:07:10,b'Are you Harishchandra? #scamparty #congress https://t.co/fG3K1HVMKF',Bangalore,97373852,surappa,0
2019-04-22 03:08:52,b'@TarekFatah This is why we need @narendramodi as our PM again. @BJP4India #Congress #JDS\n#Elections2019 #firekbar_modisarkar',"Bengaluru, India",43928041,Prasannamr,0
2019-04-22 02:38:38,b'#LokSabhaElections: #Gokak MLA #RameshJarkiholi reportedly reached out to disgruntled workers from #Congress &amp; tried to convince them to campaign for #BJP in #Belagavi. Ramesh also reportedly held talks with his brother #SatishJarkiholi &amp; tried to convince him to support BJP. https://t.co/yR2iIBNsJ5',BENGALURU,633485882,NEWS9TWEETS,4
2019-04-21 19:00:22,b'CM IBRAHIM Talks about Bommanahalli Corporator Mohan Raju on Removing Islamic Flag #cmibrahim #bjp #congress #bommanahalli #trending #bangalore #bengaluru #elections #karnataka https://t.co/A2O3SJcUhV via @YouTube',"Bengaluru, India",948518312656322560,afmaaofficial,0
2019-04-21 17:32:21,b'We had 5 peaceful years... now vote for #Congress you libtards... if you want such celebrations to happen time to time as they used to happen under #Congress...\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n#PhirEkBaarModiSarkar',"Bengaluru, India",4077218130,WingsTrails,0
2019-04-21 16:41:30,"b'Just heard that the #CONgress IT cell is paying 10paisa for each post that you share. Some of my friends are on a sharing spree. Maybe they want to earn the promised \xe2\x82\xb972,000 even before May 23 \xf0\x9f\x99\x8f\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'","Bangalore, India",164251468,divinsimakurti,0
2019-04-21 16:14:44,"b'""Every problem in #India has roots in #Congress policies"" !\nI am not saying this.\nIt\'s #Kerala \'s Moronic Reds CM #PinarayiVijayan who says this ! \xf0\x9f\x98\x82\n#LokSabhaElections2019'",Bengaluru,2188054226,KyasapuraS,1
2019-04-21 15:11:32,"b'#Indians are always lives on behalf of richest people &amp;as a slave they are never ready to start as an entrepreneur so never live behalf of others, live for you, be you, respect you &amp;move with #RahulGandhi who is well educated &amp;be powerful #Congress #India'",,1080544467986214913,SayedZa11642981,0
2019-04-21 15:03:08,"b'A status of previous PM Indira Gandhi, an amazing woman &amp;daughter of great leader, &amp;now we wants to look back &amp;learn from it what\xe2\x80\x99s all about our next life in #India so vote from lessons not from signs &amp;words #IndiaElections2019 #Congress #PriyankaGandhi https://t.co/WsTZ69VzYW'",,1080544467986214913,SayedZa11642981,0
2019-04-21 14:59:35,b'@TimesNow If people still believe in #AAP it\xe2\x80\x99s unfortunate. But when ppl can believe #Congress #TMC #CPM then nothing wrong in believing another cheat.',"Chennai, India",822365942793408512,ars_rama,0
2019-04-21 14:21:49,"b'Final campaigning, #Kottikalasham for the #LokSabhaElections2019 at Playalam in #Kozhikode, #Kerala. @NewIndianXpress @CPIMKerala @BJP4Keralam @INCKerala #BJP #CPM #Congress https://t.co/luH4JMJPiD'","Kozhikode, India",2924131543,manu_TNIE,0
2019-04-21 11:43:08,b'@priyankac19 Maam you are great and you were a good asset for #Congress. They will realise later what they have lost. They had to chose between faithful workers and goons and they chose goons. Anyways now you are in a good team that respects women.',"Chennai, India",312754297,joomlaseotips,0
2019-04-21 11:00:47,"b""IT'S VERY SURPRISING HOW FAST LEADERS  at top ARE CHANGING THEIR VIEWS AND IDEOLOGY MORE FASTER THAN CLIMATE AND EVEN more than reptile for the sake of satisfying their EGO #Congress #RahulGandhi #PriyankaChaturvedi #PriyankaGandhi""",BANGALORE,326276691,Abhi1975us,0
2019-04-21 10:36:37,b'Which is the most interesting 2019 Lok Sabha poll battle in the remaining 5 phases?\n\n#LokSabhaElections2019 #Amethi #Bhopal #Kalaburagi #UttarPradesh #MadhyaPradesh #Karnataka #RahulGandhi #SmritiIrani #PragyaThakur #DigvijaySingh #MallikarjunKharge #UmeshJadhav #BJP #Congress',BENGALURU,633485882,NEWS9TWEETS,19
2019-04-21 10:35:08,"b""@BhavikaKapoor5 @sherigara @narendramodi Who has declared pragya thakur as a terrorist #Congress .\nWho still have not answered for 1984 genocide #kamalnath who's the CM of MP now, coincidentally from the same state\nShashi tharoor is an accused of murder of his wife. \nThere's a difference between accused and convicted""","Bengaluru, India",894151829470105600,KaulSubhash,0
2019-04-21 09:45:40,b'#Pappu finds his #BestMates\nThis can happen only in #CONgress https://t.co/v5rr1pjnTB',Bangalore - India,100327232,raajleo,0
2019-04-21 09:38:47,"b""#LokSabhaElections: Minister Satish Jarkiholi hinted at his brother Ramesh Jarkiholi's resignation from #Congress. Satish said that Ramesh has asked his supporters to work for #BJP.\n\n#SatishJarkiholi #RameshJarkiholi @INCKarnataka @BJP4Karnataka https://t.co/NBTedCyEhZ""",BENGALURU,633485882,NEWS9TWEETS,19
2019-04-21 09:20:36,b'#LokSabhaElections: Tussle breaks out between #BJP and #Congress workers in #Shivamogga. Both party workers sparred in-front of @BJP4Karnataka MLA Halappa. The clashes erupted when Hartal Halappa tried mediating between the two camps. https://t.co/Wz7uICThzl',BENGALURU,633485882,NEWS9TWEETS,3
2019-04-21 08:53:43,"b""@narendramodi Vote for #congress and see mumbai kind of attack on india, #RahulGandhi can't give you any security.\nIndian pls #VoteForModi otherwise you will see #mumbaiattack""","Bengaluru, India",142205964,manisharma1401,0
2019-04-21 08:37:19,"b'The #Congress is keen to address all national security issues but no decision will be ad hoc or arbitrary, senior party leader @PChidambaram_IN says.\n\n#SriLanka #SriLankaBlasts #colombo #EasterSunday #HappyEaster \n\nhttps://t.co/0CNQ4GzOtt'","Chennai, India",1097443100849430529,TheFederal_IN,0
2019-04-21 08:23:18,"b""https://t.co/lIJmrRI62j #sasilalitha director #kethireddyjagadishwarareddy explained how #pk's influence  #APElections2019 #JanaSenaParty #Janasena #TDP #YSRCP #prashanthkishore #pawankalyan #TV9News #Tv9Bharatvarsh #NTVNews #LokSabhaElections2019 #BJP #Congress #etv #10TV #99TV https://t.co/Cr2TE9Rrza""",CHENNAI,2580915068,TELUGUYUVASAKTH,2
2019-04-21 07:32:57,b'Marriage was April 18th and the first night is May 23rd....\n\nMapila Summavaa irupan...... adhuvara... \n@itisprashanth\n@tamiltalkies\n@RJ_Balaji\n\n#Elections2019 #Madurai #VoteForIndia #MNM #NTK #DMK #ADMK #Chennai #Tamilnadu #BJP #Congress',chennai,292149032,sabarigirish1,0
2019-04-21 07:28:02,"b""#BIGNEWS: Lt General (Retd) DS Hooda condemns Sadhvi Pragya's comments on 26/11 martyr Hemant Karkare during a Congress press conference.\n\n#PragyaThakur #DSHooda #HemantKarkare #Congress @INCIndia https://t.co/cI7XzbTKSc""",BENGALURU,633485882,NEWS9TWEETS,2
2019-04-21 06:42:01,"b'Sunday talk:\n#Zamirahmed\n#Congress\n#shame\n#congress culture \nI request # Fevicol company to provide free product to #ZamirAhemed so that he can stick his tounge. If # Fevicol can make him to shut his ugly mouth, they can use him for advertisement. It is big business opportunity. https://t.co/AK4EMvr0O3'",BANGALORE,242240544,yourmentor_gk,0
2019-04-21 04:57:01,b'Whole family coming to take amotional impact to safe @RahulGandhi  \xf0\x9f\xa5\xb0\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xe2\x98\xba\xef\xb8\x8f wht about other party members of #Congress ??? Only Gandhi family  wil be there ? https://t.co/2v618DA57a',"Bengaluru, India",127262285,ABHINAVsr,0
2019-04-21 04:52:23,"b""In #India Rahul #Gandhi stole Gandhi's name...in France Leonardo da Vinci name.. He is perfect conman who doesn't know  what's con and roams openly\n\n#congress #BJP #elections""",Bangalore,67853021,prajwalrai88,0
2019-04-21 04:35:45,"b'Quoted tweet concurs with my earlier estimate, 2 months ago.\nMy current estimate is 8-9 for NDA. But if NDA scores 14 &amp; above, we can be assured that votes polled for newcomer MNM is the primary reason for that, meaning it impacted #DMK &amp; #Congress negatively. https://t.co/RFYj9v73oN'",Chennai,15132089,AmmU_MaanU,0
2019-04-21 03:50:30,"b""@sidmtweets U kept #Gandhi photo as a DP &amp; supporting #FakeGandhi \xf0\x9f\xa4\xa3\n\nFirst fullfil the wish of #MahatmaGandi who said after indipendence we should remove and close #Congress party..\n\nbe a proud #Bhakt and don't be a #Chamcha""","Bengaluru, India",1096815986387415040,1521Shankar,0
2019-04-21 03:43:54,b'@hi_paresh @narendramodi There r 2types of #Terror\n1)#ExternalTerrorist\n2)#InternalTerrorist which is you gusy who blame #Indianarmy\n\n#Indiragandi #KamalNath a kaun hai  #freedomFighters these r biggest #terrorist\n\n#Congress is big terrorism which doing #Divided&amp;Rule &amp; ruined our nation',"Bengaluru, India",1096815986387415040,1521Shankar,0
2019-04-21 03:40:24,"b""#LokSabhaElections: #AndhraPradesh CM Chandrababu Naidu set to campaign for #Congress' Rajashekhar Hitnal in #Koppal today. @ncbn will address a rally in #Gangavathi. CM @hd_kumaraswamy is likely to attend. https://t.co/atnjy1ef8n""",BENGALURU,633485882,NEWS9TWEETS,0
2019-04-21 03:36:32,b'#IndiaElections2019  India wants #Whatsaap government . Who can provide that #BJP #Congress #aap #swaraj and by when . @prajavani @pbhushan1 @Vijaykarnataka @porinju @IndiaToday',Bangalore,37878032,payagouda,0
2019-04-21 03:10:52,b'For whom u casted ur vote?\nIf u choose others option vote in next poll.\n#ADMK #DMK #BJP #congress #Ammk #MNM #NTK #INDEPENDENT #NOTA #TNElection2019 #LokSabha',"Salem, India",936906978718187525,Thanish1007,11
2019-04-21 03:07:36,"b""@rohini_sgh Ya #ModiJi ll remove terrorism\n\nOhhhh so called respected #Rohini first use these words shamelessly disgracefully words to a #Congress people's who have not taken #Revenge for 26/11..\n\nThen talk about others yahi sikhaya hai kya apko gharpe\xf0\x9f\xa4\x94""","Bengaluru, India",1096815986387415040,1521Shankar,0
2019-04-21 02:58:42,b'What a visionary party this @INCIndia is. Apne future leaders (party president and PM candidates) are already ready. #conjob #CongressIsShame #Congress #CongressMuktBharat https://t.co/aukNaCQq8I',Bangalore,71736490,sushilkothari,0
2019-04-21 02:44:09,"b""@PriyaDutt_INC Before tweeting this, you should have  remembered your dear brother's deeds at least.\n And being martyr makes Karkare no saint and wash of  his sins. Earlier and also recently we have seen your #congress 's respect towards our forces and martyrs.""","Bengaluru, India",1104741919014281216,Seemajay7,0
2019-04-21 02:34:17,b'#LokSabhaElections: #Shivamogga to witness a flurry of campaigns today with CM @hd_kumaraswamy holding a campaign for Madhu Bangarappa and @BJP4Karnataka Chief @BSYBJP campaigning for his son Raghavendra.\n\n#BJP #Congress #Karnataka @INCKarnataka https://t.co/swJEdkjboA',BENGALURU,633485882,NEWS9TWEETS,0
2019-04-21 02:28:06,b'WATCH THE REPEAT OF WAYANAD ELECTION EXPRESS @ 12:30 PM TODAY!\n\n#LokSabhaElections2019 #Kerala #Wayanad #RahulGandhi #ThusharVellappally #Suneer #PSuneer #BJP #Congress @nabila__jamal @RahulGandhi @INCKerala @BJP4Keralam https://t.co/0ICEjg3LBY',BENGALURU,633485882,NEWS9TWEETS,0
2019-04-21 01:59:28,"b""'Why politicise #Sabarimala ?'\n\n'Can #BJP and #Congress make a dent in #Kerala this #LokSabhaElections2019 ?'\n\nI caught up with students of university of Kerala to understand who has their vote. @TheQuint #LokSabhaElections \n\nEdited by @vyckram \n\nhttps://t.co/vVOw0StNxI""","Chennai, India",2334791696,smitha_tk,2
2019-04-21 01:50:47,"b""The way #Congress is seeking votes is as if they are looking to form the govt for the first time.. In other words, Current Congressmen's r just saying that their previous generation were just not capable enough to bring the change. \n#IndiaWantsModiAgain #CongressMuktBharat""",Bangalore,260147763,Rohan_2021,0
2019-04-21 01:30:33,"b""#LokSabhaElections: Former PM Manmohan Singh on Saturday assured that no new tax will be levied to finance NYAY Scheme. 'Our nearly $3-trillion economy has the fiscal capacity to absorb this expenditure', said Singh.\n\n#ManmohanSingh #NYAYScheme #Congress @INCIndia https://t.co/oAoN8Yuafd""",BENGALURU,633485882,NEWS9TWEETS,5
2019-04-21 01:10:27,b'@priyankac19 Good decision on leaving #congress',"Chennai, India",328047055,msmahapatro,0
2019-04-21 00:15:47,"b""#LokSabhaElections: Scrutiny of Rahul Gandhi's nomination papers from #Amethi put on hold after four independent candidates raised objections over his name, nationality and education qualifications. Reply has been sought from @RahulGandhi by April 22.\n\n#RahulGandhi #Congress https://t.co/0j0RaGAUNV""",BENGALURU,633485882,NEWS9TWEETS,2
2019-04-20 22:58:29,"b""@suvarnanewstv @BJP4Karnataka @INCKarnataka Dear #Congress you can't fool people anymore!\n\nPeople are educated enough to decide what's right n wrong!\n\n#LokSabhaElections2019 \n#IndiaWantsModiAgain \n#RahulCitizenshipControversy https://t.co/ntdyl2dZvK""","Bengaluru, India",355343264,Prashanthbmw,2
2019-04-20 22:00:22,"b""#AAP has suspended its Kerala convener C R Neelakandan for allegedly announcing party's support to #Congress in the state without any consultation with the party's political affairs committee. #LokSabhaElections2019 https://t.co/u01USsujaj""",Chennai,94761188,NewIndianXpress,0
2019-04-20 19:38:50,b'Neither #Vote for #Congress #NDA... Just #Vote for your #RegionalParties #Elections2019',Hyderabad/Bangalore,194065356,sans1246,0
2019-04-20 19:33:49,b'@ReallySwara Stop spreading this no sens hatred in India.\n\nBritish did the same and ruled and #congress did same by #Divde&amp;Rule and rulled India for 70 years..\n\nNow #Hindu&amp;Muslim r living peacefully from last 5 years and #CHAMCHI shamless like you spreading the nonsense bullshit\n\nShame on u\xf0\x9f\x96\x95',"Bengaluru, India",1096815986387415040,1521Shankar,0
2019-04-20 18:59:08,b'@Aabhas24 @nramind @TimesNow @SunilAmbekarM @amritabhinder @pradip103 @anujdhar @davidfrawleyved @BJP4India @M_Lekhi @sunandavashisht @GarudaPrakashan @Shehzad_Ind @nramind now we understand that u make can make MONEY out of such fake journalism..probably sponsored by #RahulGandhi #CONgress',BANGALORE,475580468,amaravindm9,1
