time,text,location,userid,screenname,retweetcount
2019-05-08 12:37:26,b'Instead of punishing those guilty of #Gujarat #GodharaRiots #BJP makes #Modi prime  minister https://t.co/tcftAsbjMN',"Uttar Pradesh, India",894653323671814144,ShanMehra2017,0
2019-05-08 08:41:04,b'Plz @narendramodi sir focus on this matter #SSCCGL 2017 \nAnd improve examinations arrangements of jobs so that no one students attempt suicide because of unemployment \nAjj ka youth itna talented hone k bavjud bhi help less hai it is called padhelikhe berojgar \n#NarendraModi #BJP https://t.co/2ayYvqftxX',"Uttar Pradesh, India",886838624490094592,inehachaudharyy,0
2019-05-08 07:23:02,b'I have voted to #BJP because of u @narendramodi sir but u should listen to us and u should focus on #SSCCGL 2017 matter we have sufferd so much but still no solution no employments nd #SSCCGl 2018 pending. #LokSabhaElections2019\nClick on this link \xf0\x9f\x91\x87 @ndtv\nhttps://t.co/SownXDF791',"Uttar Pradesh, India",886838624490094592,inehachaudharyy,0
2019-05-07 19:56:24,"b'@smritiirani @BJP4India\nSmrati itani is one of my favorite leader, here are few words &amp; she is definitely goin to win loksabha election ...\xf0\x9f\x99\x8f\n#SmritiSpooksRahul #SmritiIrani #BharatKaGarvModi #Amethi #LokSabhaElections2019 #BJP https://t.co/Nq7zC5yl9j'","Uttar Pradesh, India",828529585,ravisharmabboy,0
2019-05-07 18:16:10,b'Vote for #bjp @narendramodi @MadhuMishra_ @smritiirani @AmitShah @myogiadityanath https://t.co/VQgCtCDW61',"Lucknow, India",1125811267900301313,AmanPan92002472,0
2019-05-07 14:26:05,"b'@5Forty3 So you mean to say all #Hindus  with congress &amp; other party are antinational ?\nAll #Muslims with #BJP like naqvi &amp; shahnawaz are also antinational ?\nUncle , mind your words before write stupid things.'","Morena, India",1123156981064167425,Unbreak99284365,0
2019-05-07 14:09:54,"b""Isn't it amazing that whenever #Congress backs/supports a letter someone comes out and says I never signed any such letter but whenever #BJP supporters release a letter no one comes out in protest or denies it. #Signed #HarDilMeiModi""",Kanpur,184726588,vickastomar,2
2019-05-07 12:18:39,b'In election speeches use of bad &amp; abusive language against opponents is used mostly by following parties.\n#Election2019 #BJP #Congress #SP #BSP #TMC #Shivsena #DMK #AIDMK #RLD #JD #CPI #CPM',"Lucknow,India",63873549,birdinfo,0
2019-05-07 09:56:15,"b""#BJP Candidate #Sunnydeol don't know about of balakot strikes...\n\n@yadavakhilesh @samajwadiparty @Mahmudabad https://t.co/a1rh3oDURY""","Lucknow, India",1326152874,abhishek_rising,0
2019-05-07 09:24:32,b'@_sabanaqvi @_sabanaqvi summer internship in #BJP #RSS   headquarter @ 1 rps per day.........',lucknow,38431173,ssabidi,0
2019-05-07 02:54:16,"b""@RubikaLiyaquat I think Now it's correct time for opposition to start #EVM blame game # only few days left to farm BJP Govt #BJP""","Lucknow, India",3140383207,Sarvendratripa1,0
2019-05-06 15:38:18,b'Who according to you is more charismatic among these two politicians?\n\n#rahulgandhi #SmritiIrani #Amethi #UttarPradesh #loksabhaelections2019 #votekar #vote #soniagandhi #BJP #Congress @RahulGandhi @smritiirani #SoniaGandhi #PMModi',,1115544022053834753,YPPIndia,0
2019-05-06 12:37:47,"b""Vote for Modi Ji from Heart of Atal Ji' constituency.\nBooth -  Pri. School, Mampur Bana, Bakshi Ka Talab, Lucknow\n#Lucknow\n#BharatKaGarvModi \n#VotingRound5 \n#BJP \n#Modi \n@narendramodi_in \n@BJP4India \n@TajinderBagga \n@rajnathsingh \n@myogiadityanath \n@narendramodi https://t.co/QxzERun0sD""","Lucknow, India",54792761,apschauhan007,0
2019-05-06 11:29:08,"b""#aajtak @aajtak #BJP #LokSabhaElections2019 #kaushalkishor from lucknow  u  will  win  in  this  voting  because  many  of  us  voted  to  u so  please  work  in  our  lucknow  small colony  region  ,i know  u r  from  kakori region it's  prior  to u.""","Lucknow, India",1063928754810978305,ashutos40263655,0
2019-05-06 08:32:50,b'Vote for #modi #bjp #2019Elections #ModiAaneWalaHai #ModiWave #ModiJahanVikasWahan #ModiOnceMore https://t.co/Uu6qxUymZM',dholpur rajasthan india,1243559995,sauravgurjar55,0
2019-05-06 08:04:31,"b'@sagarikaghose @narendramodi This marketing strategy only work in Hindi states of North india, where #BJP is loosing , No impact on south India , this would be a big problem for Modi'","Morena, India",1123156981064167425,Unbreak99284365,0
2019-05-06 07:57:20,"b""@shekharkahin It's really disheartening for the ground level political worker.\nBut coming to BIHAR :- Neither @RJDforIndia nor #JDU nor #BJP have fielded any celebrities in BIHAR. In past, Bihar has rejected such limelight candidate &amp; has gone for ground level workers.""","Hajipur, India",3114688257,jukkchemical,1
2019-05-06 06:48:07,b'#LokSabhaElections2019 \n       Vote for Nation #BJP https://t.co/cGFynyNbxM',"Uttar Pradesh, India",1067710643619344384,Raghavsrivasta,0
2019-05-06 06:01:03,b'Vote for Modi. # Mohanlalganj_Lucknow_Uttar_Pradesh.\n#bjp #bjpindia #bjplive #bjpup #bjp_lucknow\nbjp4india bjplive rajnathsinghbjp bjp4up__ bjp.uttarpradesh bjp_up @narendramodi\xe2\x80\xa6 https://t.co/JrS5pLB2p5',Lucknow,2564748142,anu06sid,0
2019-05-06 05:47:40,"b'@Ra_THORe Sir you are a true inspiration for all youngsters of our country, You served in the army, you know the pain of our jawans, you made our country proud by winning medal in shooting and served as sports minister and organised initiative of khelo india, love from UP. #Phase5 #BJP'","Lucknow, India",1124598760850558976,KeshavD44424868,1
2019-05-06 05:45:13,b'Today is the votenation day \nfeeling happy\n#vote4modi #nation #happy #BJP #RajnathSingh #lucknow # https://t.co/jXycMG6kzd',Lucknow,437457178,sundeeppandey,0
2019-05-06 04:37:15,"b'@arungiri @RaisinaSeries @purohitvaibhav Meo Muslims population is decided factor here and #BSP feilded a meo muslim candidate, else its was a cakewalk for congress.\nNow edge for #BJP'","Morena, India",1123156981064167425,Unbreak99284365,0
2019-05-06 03:24:19,b'Vot for #bjp #loksabhaelections2019',"Kanpur, India",984979177068613632,bjpleaderji,0
2019-05-06 03:24:06,b'Vot for #BJP https://t.co/HAjtpTJESZ',"Kanpur, India",984979177068613632,bjpleaderji,0
2019-05-06 02:56:17,"b""@narendramodi On 23rd May, the #BJP will break its own record created in #LokSabhaElections2014 .\nKamal's flower is blooming again, after the #fifthphase\nAll world will also feel the fragrance""","Agra, India",3073369844,veerbahadur086,1
2019-05-05 19:28:58,b'@Khabar_Bar @geetv79 Central forces are supporting #Bjp candidate in #WestBengal',"Uttar Pradesh, India",894653323671814144,ShanMehra2017,0
