time,text,location,userid,screenname,retweetcount
2019-05-07 17:13:44,"b""Congress president Rahul Gandhi says Modi Ji, the battle is over https://t.co/Bo8hJTij3R via @Metro City Express\n'BhrashtachariNo1 #Congress president #RahulGandhi #LOKSABHAELECTION2019 #Modi #pmmodi #RahulGandhi""",लखनऊ,287081061,Lokhastakshep,0
2019-05-07 14:09:54,"b""Isn't it amazing that whenever #Congress backs/supports a letter someone comes out and says I never signed any such letter but whenever #BJP supporters release a letter no one comes out in protest or denies it. #Signed #HarDilMeiModi""",Kanpur,184726588,vickastomar,2
2019-05-07 12:18:39,b'In election speeches use of bad &amp; abusive language against opponents is used mostly by following parties.\n#Election2019 #BJP #Congress #SP #BSP #TMC #Shivsena #DMK #AIDMK #RLD #JD #CPI #CPM',"Lucknow,India",63873549,birdinfo,0
2019-05-07 07:52:20,b'One More Milestone from #Congress Fake Factory.\n\n#RahulKaBaapChorHain \n#CongressMuktBharat https://t.co/0XF9UXV2ex',"Lucknow, India",854666027455655936,Ankurpandit208,1
2019-05-07 04:44:40,b'Modi ji ki dirty politics he involved rajiv gandhi into his dirty politics shameful ....\n#Congress \n#RahulGandhi \n#ChowkidarChorHai https://t.co/00I3Sz8JCn',"Lucknow, India",750977997189054464,Armaankhan211,1
2019-05-07 03:59:05,"b""Sorry to say #Congress done and preferred those development which can give them personal benefits #CongressMuktBharat today's turning point today's highways is a gift from #Atal #ManmohanSingh time they utilities for money making per day lowest construction https://t.co/cjncSegCi2""","Lucknow, India",775203779339689984,caidsachin,0
2019-05-06 15:38:18,b'Who according to you is more charismatic among these two politicians?\n\n#rahulgandhi #SmritiIrani #Amethi #UttarPradesh #loksabhaelections2019 #votekar #vote #soniagandhi #BJP #Congress @RahulGandhi @smritiirani #SoniaGandhi #PMModi',,1115544022053834753,YPPIndia,0
2019-05-06 07:19:01,b'My Vote for congress \nMy vote for change \n#Congress \n#CongressHaiNa \n#ChowkidarChorHai \n#MyVoteForCongress https://t.co/R82kMHCWKQ',"Bharatpur, India",928154210515820544,Shailen96527104,1
2019-05-06 06:04:57,"b""@INCIndia It was due to grt leadership of FM SHFJ Manekshaw bcoz  he denied the order of Smt Gandhi She was insisting attack in Apr over Pak bt Manekshaw stayed on his word i.e for Dec ...for the same he couldn't get his pay also for the FM rank.\n\nSo #Congress pl don't take credit for that""","Agra, India",1022789420779360257,AnilAdventures,0
2019-05-06 05:49:03,"b""Stink of #Corruption doesn't leave the #Congress Leaders anywhere in the near future \n\nNeed to change faces totally \n\n@PChidambaram_IN \n@RahulGandhi \n@priyankagandhi \n@JM_Scindia""",India Dubai ,45795197,doctor_csr,0
2019-05-06 00:37:01,"b'Dear All, today is the voting day.. So request to all, please Vote as much as u can... \n\n#Voteforchange\n\n#Congress\xe2\x9c\x8c\xf0\x9f\x8f\xbb'","Bharatpur, India",1106015894407245826,KhandelwalMukil,0
2019-05-05 16:49:00,b'Note k bdle vote #ashamed #Congress #CongressNeverAgain https://t.co/M2O4nSPzma',Kanpur ,1091294406,chokha_chora,1
2019-05-05 16:42:14,b'Reality of #RahulGandhi #NehruGandhiFamily &amp; #Congress \nIndia has realised that how hypocrite they\xe2\x80\x99re and that self gain comes first for them and nation at last \n#Shame https://t.co/Dt2GlnVr1G',New Delhi & Lucknow,122986114,iSuyashTripathi,0
2019-05-05 01:45:57,"b""#Congress President @RahulGandhi 's interview. \nhttps://t.co/KfAIZEtbmI""","Uttar Pradesh, India",3113512502,kushgarg12,0
